"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070085","glycosylation","43/980","242/18986",0.177685950413223,3.44239332096475,8.92076018621601,9.37117403890696e-13,4.65466214512509e-09,4.19335377256774e-09,"B3GNT7/B3GNT6/B3GALT5/CWH43/GCNT3/B4GALNT2/ST6GALNAC1/ENTPD5/ST3GAL4/GALNT8/GALNT12/GNE/B3GALT1/B3GALT4/TMEM59/SLC39A8/DHDDS/ABO/CHP1/GALNT5/GALNT7/MGAT4A/NANS/MGAT3/FUT2/B3GNT8/GAL3ST1/FUT3/PSEN1/MAN2A1/GBA2/UBE2J1/MPDU1/B4GALT4/EDEM3/CMAS/DOLPP1/FUT6/GALNT3/GCNT1/ST6GALNAC4/TET2/GALNT4",43
"GO:0006486","protein glycosylation","39/980","223/18986",0.174887892376682,3.38818522924865,8.36910498537763,1.78559981724034e-11,2.95635809741092e-08,2.66336309582059e-08,"B3GNT7/B3GNT6/B3GALT5/CWH43/GCNT3/B4GALNT2/ST6GALNAC1/ENTPD5/ST3GAL4/GALNT8/GALNT12/B3GALT1/B3GALT4/TMEM59/SLC39A8/DHDDS/ABO/CHP1/GALNT5/GALNT7/MGAT4A/MGAT3/FUT2/B3GNT8/GAL3ST1/FUT3/PSEN1/MAN2A1/UBE2J1/MPDU1/B4GALT4/EDEM3/DOLPP1/FUT6/GALNT3/GCNT1/ST6GALNAC4/TET2/GALNT4",39
"GO:0043413","macromolecule glycosylation","39/980","223/18986",0.174887892376682,3.38818522924865,8.36910498537763,1.78559981724034e-11,2.95635809741092e-08,2.66336309582059e-08,"B3GNT7/B3GNT6/B3GALT5/CWH43/GCNT3/B4GALNT2/ST6GALNAC1/ENTPD5/ST3GAL4/GALNT8/GALNT12/B3GALT1/B3GALT4/TMEM59/SLC39A8/DHDDS/ABO/CHP1/GALNT5/GALNT7/MGAT4A/MGAT3/FUT2/B3GNT8/GAL3ST1/FUT3/PSEN1/MAN2A1/UBE2J1/MPDU1/B4GALT4/EDEM3/DOLPP1/FUT6/GALNT3/GCNT1/ST6GALNAC4/TET2/GALNT4",39
"GO:0009101","glycoprotein biosynthetic process","45/980","322/18986",0.139751552795031,2.70747242996577,7.20923178194095,1.13431871000008e-09,1.40854025814259e-06,1.26894443058166e-06,"B3GNT7/B3GNT6/B3GALT5/CWH43/GCNT3/ITM2C/B4GALNT2/ST6GALNAC1/ENTPD5/ST3GAL4/GALNT8/GALNT12/B3GALT1/UGDH/B3GALT4/TMEM59/SLC39A8/DHDDS/ABO/CHP1/GALNT5/GALNT7/GAL3ST2/MGAT4A/MGAT3/FUT2/FOXL1/B3GNT8/CANT1/GAL3ST1/FUT3/PSEN1/MAN2A1/UBE2J1/MPDU1/TCF7L2/B4GALT4/EDEM3/DOLPP1/FUT6/GALNT3/GCNT1/ST6GALNAC4/TET2/GALNT4",45
"GO:0009100","glycoprotein metabolic process","49/980","392/18986",0.125,2.42168367346939,6.63543366595629,9.16745656627239e-09,9.10695135293499e-06,8.20439112909978e-06,"B3GNT7/B3GNT6/B3GALT5/CWH43/GCNT3/ITM2C/B4GALNT2/ST6GALNAC1/NEU4/ENTPD5/ST3GAL4/GALNT8/GALNT12/BMP2/B3GALT1/UGDH/B3GALT4/TMEM59/SLC39A8/GNPTAB/DHDDS/ABO/CHP1/GALNT5/GALNT7/GAL3ST2/MGAT4A/MGAT3/FUT2/FOXL1/B3GNT8/CANT1/GAL3ST1/FUT3/PSEN1/MAN2A1/UBE2J1/MPDU1/TCF7L2/B4GALT4/EDEM3/DOLPP1/FUT6/IHH/GALNT3/GCNT1/ST6GALNAC4/TET2/GALNT4",49
"GO:1903532","positive regulation of secretion by cell","40/980","298/18986",0.134228187919463,2.60046568963156,6.49655026911098,2.99764217267441e-08,2.22118401848635e-05,2.00104972027709e-05,"CD177/GCG/EDN3/PLA2G10/UCN3/TNFRSF11A/BMP2/SRI/P2RX4/TRPM4/MAP2K6/ACHE/SMPD3/GNA11/F2RL1/CFTR/HLA-F/ILDR1/KLRC2/VPS4B/GIPR/ABCG1/RAB27B/BSG/MCU/SIRT6/PCSK1/VAMP8/ADORA2B/BAD/C2CD2L/PPARG/DOC2A/TCF7L2/CD2AP/GOLPH3L/EXPH5/PDCD6IP/PFKFB2/S100A10",40
"GO:0051047","positive regulation of secretion","42/980","322/18986",0.130434782608696,2.52697426796806,6.4471386065437,3.13031772285171e-08,2.22118401848635e-05,2.00104972027709e-05,"CD177/GCG/EDN3/PLA2G10/SCIN/UCN3/TNFRSF11A/BMP2/SRI/P2RX4/TRPM4/MAP2K6/ACHE/SMPD3/GNA11/F2RL1/CFTR/HLA-F/ILDR1/KLRC2/VPS4B/GIPR/ABCG1/RAB27B/BSG/MCU/SIRT6/PCSK1/VAMP8/ADORA2B/BAD/C2CD2L/PPARG/DOC2A/TCF7L2/CD2AP/P2RY2/GOLPH3L/EXPH5/PDCD6IP/PFKFB2/S100A10",42
"GO:0046486","glycerolipid metabolic process","47/980","385/18986",0.122077922077922,2.36507288629738,6.31288349786201,3.85267553830262e-08,2.39202992484364e-05,2.15496364649006e-05,"CWH43/PLA2G10/PLA2G2A/MOGAT2/MIR192/APOBR/ITPKA/PLCD1/PLCE1/PIGZ/NAAA/GDPD3/ABHD3/SLC44A4/LIPH/LPCAT4/CAPN2/MBOAT1/CDS1/IMPA1/PITPNM3/MTM1/CPT1A/PIP5K1B/PLA2G4F/IMPA2/GAL3ST1/MTMR11/PLD1/SLC22A4/INPP5J/MOGAT3/SLC44A1/DGKQ/DGKA/NAPEPLD/AVIL/MBOAT2/SH3YL1/LPIN3/PGAP3/CLN3/DGAT1/ABHD5/TTC7A/PIGN/BPNT1",47
"GO:0016266","O-glycan processing","13/980","40/18986",0.325,6.29637755102041,7.82275774035404,5.5834543276453e-08,3.08144640504602e-05,2.77605430956961e-05,"B3GNT7/B3GNT6/GCNT3/ST3GAL4/GALNT8/GALNT12/GALNT5/GALNT7/B3GNT8/GALNT3/GCNT1/ST6GALNAC4/GALNT4",13
"GO:0006644","phospholipid metabolic process","44/980","374/18986",0.117647058823529,2.27923169267707,5.82905569992797,3.00550116778693e-07,0.000149283243003977,0.000134488268044866,"CWH43/PLA2G10/PLA2G2A/ITPKA/PLCD1/PLCE1/PIGZ/NAAA/GDPD3/ABHD3/SLC44A4/LIPH/SMPD3/LPCAT4/CAPN2/DHDDS/SMPDL3B/MBOAT1/CHP1/CDS1/IMPA1/PITPNM3/MTM1/PIP5K1B/PLA2G4F/IMPA2/MTMR11/PLD1/INPP5J/SLC44A1/DGKQ/DGKA/NAPEPLD/MBOAT2/SH3YL1/PLBD1/PGAP3/DOLPP1/CLN3/ABHD5/TTC7A/PRKCD/PIGN/BPNT1",44
"GO:0009312","oligosaccharide biosynthetic process","10/980","27/18986",0.37037037037037,7.17535903250189,7.49110866302833,4.84010879794527e-07,0.000209727658929761,0.000188942235196595,"B3GALT5/B4GALNT2/ST6GALNAC1/ST3GAL4/B3GALT1/B3GALT4/FUT2/FUT3/MPDU1/FUT6",10
"GO:0006650","glycerophospholipid metabolic process","37/980","294/18986",0.125850340136054,2.43815771206442,5.79778370366446,5.06690538988752e-07,0.000209727658929761,0.000188942235196595,"CWH43/PLA2G10/PLA2G2A/ITPKA/PLCD1/PLCE1/PIGZ/NAAA/GDPD3/ABHD3/SLC44A4/LIPH/LPCAT4/CAPN2/MBOAT1/CDS1/IMPA1/PITPNM3/MTM1/PIP5K1B/PLA2G4F/IMPA2/MTMR11/PLD1/INPP5J/SLC44A1/DGKQ/DGKA/NAPEPLD/MBOAT2/SH3YL1/PGAP3/CLN3/ABHD5/TTC7A/PIGN/BPNT1",37
"GO:0006493","protein O-linked glycosylation","19/980","100/18986",0.19,3.68095918367347,6.27090071956029,7.30723046193483e-07,0.000279192413111002,0.000251522564321336,"B3GNT7/B3GNT6/B3GALT5/GCNT3/ST3GAL4/GALNT8/GALNT12/B3GALT1/B3GALT4/GALNT5/GALNT7/B3GNT8/FUT3/FUT6/GALNT3/GCNT1/ST6GALNAC4/TET2/GALNT4",19
