"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","SFT.R.sq.signed"
1,0.18785490213485,24.2338501673222,0.947553985890295,2532.19931608409,2531.4649358465,2665.32086825034,-0.18785490213485
2,0.312086140328145,6.62745710050279,0.948607818013781,1491.44822908568,1495.12861199993,1714.57410862402,-0.312086140328145
3,0.0857228861497553,1.17511920994446,0.876222932304718,969.614032382228,972.320559919227,1297.75161564847,-0.0857228861497553
4,0.0073177263894478,0.190802687013775,0.810913068999897,673.412848868755,673.31157180912,1039.03756744772,-0.0073177263894478
5,0.0196755924673717,-0.219075242746398,0.770286549151277,489.84338435506,482.376956680117,857.775612141151,0.0196755924673717
6,0.0990385193651321,-0.402070140013763,0.769205499842947,368.635478660418,357.25159784791,721.902667751131,0.0990385193651321
7,0.210322467288311,-0.546963746004,0.786308817723127,284.742148018148,269.588157492848,617.994174627095,0.210322467288311
8,0.32961328053097,-0.659036507688493,0.818230552116077,224.534397586631,206.945145563475,534.840350696586,0.32961328053097
9,0.423975882438434,-0.759703654199454,0.839409041522078,180.06825653465,162.520988638489,466.991637654982,0.423975882438434
10,0.49791464796061,-0.846064864573652,0.86316283133167,146.454412594559,128.884227831925,410.786924594896,0.49791464796061
11,0.565638519964341,-0.911086213637497,0.890347908875584,120.548750693768,103.471930871859,364.366996966279,0.565638519964341
12,0.613306681282399,-1.00236802027803,0.899474643359647,100.255391071809,83.8214206729733,325.544827151294,0.613306681282399
13,0.638689430428229,-1.06462168013393,0.908719531849852,84.1346744905211,68.5217321411926,292.125573743976,0.638689430428229
14,0.667594165685928,-1.12782707571509,0.919840747400129,71.1722704523823,56.4066297033145,263.131892278162,0.667594165685928
15,0.695470003612608,-1.18123827353739,0.930565919918163,60.6377875761248,46.779459266352,238.46829223471,0.695470003612608
16,0.703872124219594,-1.24334591138085,0.928242882551164,51.9952638020707,38.8896989412561,216.774325810128,0.703872124219594
17,0.713417904453922,-1.29538627692611,0.930384754823854,44.8448486692175,32.6895930848397,197.564866775846,0.713417904453922
18,0.731987913509228,-1.33630670318996,0.93850094532523,38.8838437200493,27.6462693488986,180.477256289282,0.731987913509228
19,0.739717191143123,-1.38075972708705,0.939575363726128,33.8800948906468,23.2141580808493,165.215321745401,0.739717191143123
20,0.753170720537333,-1.4071631016292,0.946545167205828,29.6534618408422,19.7236103141379,151.534587568723,0.753170720537333
