"gene","coef"
"NAT1",-0.0781277668955001
"BCL10",-0.141124797586095
"ATOH1",-0.10883920853768
"CLDN23",-0.122814338080956
"PARM1",-0.0735250827553887
"CLCA4",-0.00568266729439379
"C2CD2L",0.264160520405292
"KCTD9",-0.0693403042769781
"CDS1",-0.0514618305809826
"PTPN18",0.68837707075137
"ZBTB7C",-0.0811187390375359
"PDCD6IP",-0.0742244402430121
"CD177",-0.0416762463246105
"KIF13B",-0.0473588072572998
"TMEM236",-0.0131902440031198
"IGSF9",0.268188925411978
"RPS6KA1",-0.0252499571420325
"UCN3",-0.184577487952778
"ACOT11",-0.308077817627289
"LGALS2",-0.105720254928875
