"gene","HR","z","p","lower","upper"
"NAT1",0.545356763652157,-3.60751284977218,0.000309146232219147,0.392300774561024,0.758127485203041
"BCL10",0.614650513992254,-2.84132127605134,0.00449270264006388,0.439361992682077,0.859872407362091
"ATOH1",0.819871781274459,-2.83378747060829,0.00459999135566466,0.71464289805625,0.940595281305441
"CLDN23",0.715644111817558,-2.83369615460803,0.00460130589769757,0.567801326302115,0.901981857130497
"ITLN1",0.894735760548234,-2.76199317974533,0.0057449678505233,0.826830492411328,0.968217897805311
"CLCA1",0.906237523804178,-2.68455770794906,0.00726258443491152,0.843383223555881,0.973776127639932
"PARM1",0.798908579463166,-2.59767605896792,0.00938569914383565,0.674420064996836,0.946375933140197
"CLCA4",0.835782182163443,-2.55573829286098,0.0105962780358808,0.72836199993253,0.959044892631127
"SULT1B1",0.809291263171013,-2.52624687517611,0.0115288434453365,0.686766176892168,0.953675895351747
"HIGD1A",0.682926861585263,-2.4883181463325,0.0128348858858681,0.505727249066652,0.922214690103101
"SLC4A4",0.723525712804194,-2.48075250327035,0.0131105369269603,0.560290169336898,0.9343184759218
"C2CD2L",2.06184134275435,2.47684679194505,0.0132548786079998,1.16300240724027,3.65535762972223
"C4orf19",0.681365784455227,-2.45669227867246,0.0140222740694319,0.501706966989653,0.925359548048417
"PAFAH2",0.606386891155557,-2.43733029906468,0.0147961573333623,0.405554674796829,0.906671984361937
"KCTD9",0.695658267637174,-2.41166504058714,0.0158798629748086,0.517977495607846,0.934288515303257
"SUCLG2",0.713171458715862,-2.40013658096174,0.0163889555187443,0.541142166063214,0.939888926466501
"CDS1",0.655952311355733,-2.38379676290892,0.0171350625953144,0.463771612051252,0.927770099747674
"LGALS4",0.791824275012583,-2.37303297751182,0.0176426886456101,0.652984840378951,0.960184132506568
"TPSG1",0.821306051104497,-2.34872381332082,0.0188378739799139,0.696885036904588,0.967941043155467
"PTPN18",1.65093416038577,2.23834279102796,0.0251987096459798,1.06433580273496,2.56083051507325
"ZBTB7C",0.784717662156754,-2.23517011895151,0.0254061824041144,0.634439629567942,0.970591653803394
"CLRN3",0.77814307135129,-2.22510837632936,0.0260739635728914,0.623878886532768,0.970551580703661
"PDCD6IP",0.575249450389247,-2.22322680430499,0.026200510269634,0.353304353152168,0.936620019597119
"ZG16",0.894919141143548,-2.20616579123165,0.0273723935348099,0.810864682504521,0.9876867083561
"MTM1",0.620521061418668,-2.19789216901579,0.0279567910905475,0.405459759840435,0.949653765433298
"CD177",0.831598858416208,-2.18245996356492,0.0290756029821844,0.704680631854585,0.981376002202723
"KIF13B",0.703298432738584,-2.17152722366693,0.0298913415678336,0.511884375636281,0.966289867468052
"TMEM236",0.748371237526046,-2.16584065051293,0.0303233658154861,0.575705172710325,0.972823479281239
"UGT2A3",0.844552923406449,-2.15593014278673,0.0310891203559111,0.724307676593009,0.984760569968622
"IGSF9",1.35641341473003,2.14892464125207,0.0316403741393755,1.02716825104193,1.7911937501897
"RBM47",0.615390362160515,-2.12382033073099,0.0336851702824901,0.393159490025599,0.963235804928406
"AKAP5",0.575867329549803,-2.09779456047564,0.0359232972468597,0.343868442950926,0.964389690420498
"RPS6KA1",0.699230741942398,-2.08107034645904,0.0374274676102821,0.499209938759303,0.979394824735359
"UCN3",0.709017257045444,-2.06319429569886,0.0390941718942365,0.511429625044955,0.982941632964764
"B3GNT6",0.859133166298761,-2.05314599407719,0.0400584203495149,0.743213576173785,0.993132823588172
"CAPN9",0.821387401521518,-2.02730716789592,0.0426310089249701,0.679101393970829,0.993485316578885
"SRI",0.727969396418665,-2.02044995632723,0.043336736052159,0.535000450100963,0.99054017996087
"GNG12",0.727398101588722,-2.0178118853418,0.0436108565940529,0.533958038665394,0.990916813458526
