"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"OTOP2",-4.21562724225708,1.96187204660801,-13.3136408915935,9.85291358392557e-19,1.31654631308413e-14,31.5497719086204,"OTOP2","Down"
"BEST4",-4.53373382917708,2.47370009653285,-12.5408098623579,1.15653003869008e-17,7.7267771884884e-14,29.2821123866855,"BEST4","Down"
"CA7",-4.65198810477787,2.6516227597362,-11.4331864574199,4.51024842409163e-16,2.00886464809041e-12,25.8793609559444,"CA7","Down"
"SPIB",-3.26710337566187,2.20740773401355,-10.9844886913435,2.07965228666254e-15,6.94707846359622e-12,24.4503542814371,"SPIB","Down"
"TNFRSF13B",-1.51056009675568,1.07862289407611,-8.57675874671916,1.12555255290876e-11,3.00792664239337e-08,16.3320271361286,"TNFRSF13B","Down"
"ALPI",-2.03034562721068,1.53246376133169,-8.20567186059455,4.44395698593955e-11,9.89669220768738e-08,15.0253456593778,"ALPI","Down"
"GUCA2B",-4.51637496430375,3.55777121437123,-7.94360073968407,1.17816570965644e-10,2.24895003034704e-07,14.0965060966362,"GUCA2B","Down"
"GLP2R",-1.02770150913425,0.811214084034574,-7.81922248632921,1.87369644818468e-10,3.12954149258046e-07,13.6542343701077,"GLP2R","Down"
"ABCG2",-2.08036818672032,1.78131119616455,-7.77458311801386,2.213537362511e-10,3.28636513754133e-07,13.4953050824827,"ABCG2","Down"
"PEX26",-1.47202085525375,4.30869418830301,-7.70178014529519,2.90548396565876e-10,3.88230767491324e-07,13.2359004059699,"PEX26","Down"
"SCARA5",-2.56390014229589,2.18904669911345,-7.63263370770038,3.76265472234838e-10,4.57059930909265e-07,12.9893073713449,"SCARA5","Down"
"CLCA4",-4.8145449420634,3.96000858882198,-7.59678666233283,4.30256763443336e-10,4.79090906094155e-07,12.861391603803,"CLCA4","Down"
"ETV4",2.95081023709386,3.15668493404293,7.46651163062466,7.00637462469864e-10,6.49982101612716e-07,12.396134352005,"ETV4","Up"
"NPY",-1.33114385908493,0.995326414673903,-7.43985488205596,7.74189427463898e-10,6.49982101612716e-07,12.3008677077487,"NPY","Down"
"TMIGD1",-4.20468057258871,3.20540591503127,-7.43292633766998,7.94541788463269e-10,6.49982101612716e-07,12.2761030146493,"TMIGD1","Down"
"GNG7",-1.29354112778503,1.37560101392825,-7.42616003115339,8.14934651403068e-10,6.49982101612716e-07,12.2519169497742,"GNG7","Down"
"SLC17A4",-2.27557173250451,2.23423117523209,-7.42225255482651,8.26949238693023e-10,6.49982101612716e-07,12.2379491738346,"SLC17A4","Down"
"USP2",-1.58940017306883,1.42578975530393,-7.34151015226401,1.11903960871428e-09,8.30700402868898e-07,11.9492406382145,"USP2","Down"
"TMEM72",-1.96046053621716,1.61963014555236,-7.30561826625042,1.28013450958481e-09,9.00271437740646e-07,11.8208569788611,"TMEM72","Down"
"PHLPP2",-1.54282431123376,2.44376823991226,-7.28722888179217,1.37146648938859e-09,9.16276761560518e-07,11.7550695793281,"PHLPP2","Down"
"SULT1A2",-2.29133816504932,2.18053731868137,-7.23296138497681,1.68080550209072e-09,1.06947252947315e-06,11.5608973710598,"SULT1A2","Down"
"WNT2",1.45252404125246,0.830257031853809,7.19124580442112,1.96528724704173e-09,1.15798831463177e-06,11.4116095500039,"WNT2","Up"
"CLDN23",-2.15623195293619,4.17319943450111,-7.17428662361903,2.09428159274831e-09,1.15798831463177e-06,11.3509122516488,"CLDN23","Down"
"GDPD2",-1.63626720755321,1.43924182025893,-7.16685817644261,2.1534189979698e-09,1.15798831463177e-06,11.3243248383217,"GDPD2","Down"
"C15orf38-AP3S2",-1.30053867709314,1.64710003344911,-7.16523398967758,2.16656996451088e-09,1.15798831463177e-06,11.3185115924268,"C15orf38-AP3S2","Down"
"C11orf86",-2.23337573874653,1.78179871352327,-7.13512989869768,2.42539695951634e-09,1.24646746819451e-06,11.2107602310152,"C11orf86","Down"
"WSCD1",-1.55401442076286,1.64290520563884,-7.07966554023662,2.98593950055922e-09,1.37838513210205e-06,11.0122243379851,"WSCD1","Down"
"UBFD1",0.647157365009909,3.3055101110865,7.07886321994643,2.99493363525539e-09,1.37838513210205e-06,11.009352343394,"UBFD1","NS"
"AMPD1",-1.16306237557364,0.771831034438468,-7.07570516064946,3.03059989048102e-09,1.37838513210205e-06,10.9980477090899,"AMPD1","Down"
"TEAD4",1.44477660334851,2.64035722202056,7.054230942191,3.28464793186796e-09,1.37838513210205e-06,10.9211780272123,"TEAD4","Up"
"VSTM2A",-1.45198825948866,0.943653862194381,-7.03897927237599,3.47790891934367e-09,1.37838513210205e-06,10.8665827572537,"VSTM2A","Down"
"CA4",-3.99837308754393,3.97695130118985,-7.03718958337291,3.50131952837957e-09,1.37838513210205e-06,10.8601763563201,"CA4","Down"
"AQP8",-4.84174484902665,4.39397914358962,-7.03273511093303,3.56027394107231e-09,1.37838513210205e-06,10.8442310739636,"AQP8","Down"
"CNNM2",-1.12642117563941,2.70089106793318,-7.03136030967376,3.57866888264114e-09,1.37838513210205e-06,10.8393098263009,"CNNM2","Down"
"SLC25A34",-1.19385515427884,1.09949952622587,-7.02899803715768,3.61049840020744e-09,1.37838513210205e-06,10.8308538289132,"SLC25A34","Down"
"ZNF575",-1.18040816855775,1.63839965645742,-7.01759438137153,3.76817814105886e-09,1.39862212002301e-06,10.7900334598744,"ZNF575","Down"
"ZBTB7B",-0.904157396761318,4.9973008500572,-6.9993829465219,4.03438582180483e-09,1.45695846894476e-06,10.7248449367127,"ZBTB7B","NS"
"STMN2",-2.01929602111421,2.04971175902537,-6.97863715983994,4.3606138719178e-09,1.53332954096225e-06,10.6505864587063,"STMN2","Down"
"LY9",-1.05067095246985,1.06473113209143,-6.95935126834674,4.6874841592597e-09,1.57793109500579e-06,10.5815559701499,"LY9","Down"
"RERGL",-1.22152467242735,0.875861066944008,-6.95730126635635,4.72363746446877e-09,1.57793109500579e-06,10.5742185040757,"RERGL","Down"
"CLDN1",2.75679102883438,3.32937385235598,6.88880316274158,6.10599073830328e-09,1.98995727427338e-06,10.3290702166553,"CLDN1","Up"
"CGREF1",1.6880057897935,2.20011578033408,6.84885293471585,7.09185664673355e-09,2.25622353603937e-06,10.1861196674387,"CGREF1","Up"
"CDC14A",-1.03136451441145,1.85025009362245,-6.84251024790529,7.26238199032058e-09,2.25674298034102e-06,10.163426498961,"CDC14A","Down"
"TRPM6",-2.15663700902235,1.9694463739529,-6.81482469621179,8.05596445291008e-09,2.43462906580738e-06,10.0643802799584,"TRPM6","Down"
"TP53INP2",-1.59919331166732,4.35768120314704,-6.8101178607827,8.19924472094988e-09,2.43462906580738e-06,10.0475428342344,"TP53INP2","Down"
"CALU",1.12511617533436,4.59350445173642,6.80260750021939,8.43315392372502e-09,2.44964788540899e-06,10.0206774542694,"CALU","Up"
"GLTP",-1.09935921855016,4.2892993074327,-6.79229908658443,8.76509326365725e-09,2.49189736572315e-06,9.98380504895724,"GLTP","Down"
