"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"COLEC11",3.27252752572782,1.81807726272048,11.466583789783,4.02932611510363e-16,5.38398555500147e-12,26.304435130116,"COLEC11","Up"
"APOC3",7.47886687510132,3.64855836698051,11.0751144001364,1.52420224477969e-15,8.18192181059945e-12,25.0266758454024,"APOC3","Up"
"APOA2",7.38233857333228,4.2359423202814,10.8686790158967,3.0979921017619e-15,8.18192181059945e-12,24.344511606276,"APOA2","Up"
"APOA1",7.46913579609645,3.93099193753315,10.7657832961801,4.42046122477563e-15,8.18192181059945e-12,24.0023712180199,"APOA1","Up"
"ORM2",6.09948528516864,2.71313401480376,10.745125244025,4.74822157178592e-15,8.18192181059945e-12,23.9335120179675,"ORM2","Up"
"ORM1",7.52269137837929,4.03314377982741,10.7238001640091,5.11235468494474e-15,8.18192181059945e-12,23.8623704706913,"ORM1","Up"
"FGL1",6.45948276588199,2.68470013757752,10.7059633419431,5.43851372385137e-15,8.18192181059945e-12,23.802820011753,"FGL1","Up"
"APOH",6.80355469114038,3.36252444433949,10.7050657397525,5.45547171924211e-15,8.18192181059945e-12,23.7998221505922,"APOH","Up"
"CYP2E1",6.58489589749802,3.04661827981746,10.7021488606624,5.51094868248728e-15,8.18192181059945e-12,23.7900794673205,"CYP2E1","Up"
"HP",7.79261527551258,4.92453796797518,10.6306488435694,7.06439978419755e-15,9.15267170535946e-12,23.5509135362902,"HP","Up"
"FGG",7.351470903485,3.89049196109384,10.6031499343635,7.77365280345826e-15,9.15267170535946e-12,23.458752634917,"FGG","Up"
"GC",6.14490523067739,2.56065815261022,10.5871241771074,8.21973211078533e-15,9.15267170535946e-12,23.4049979361549,"GC","Up"
"VTN",6.42639658024371,2.84214398177367,10.5432093601013,9.57920806159141e-15,9.8459521629988e-12,23.2575251367874,"VTN","Up"
"FCN3",3.57404543258709,1.73142962252971,10.5069726382146,1.08706324520655e-14,1.03752422017499e-11,23.1356488333381,"FCN3","Up"
"AHSG",6.08417861888689,2.48695202794645,10.4261270919354,1.4422452107693e-14,1.1766070651055e-11,22.863129539823,"AHSG","Up"
"CRP",6.07230637370466,2.96425815726924,10.4224935269079,1.46071493231838e-14,1.1766070651055e-11,22.8508616402724,"CRP","Up"
"HPX",6.32827652702825,2.84904304583593,10.4035888418218,1.56073400262624e-14,1.1766070651055e-11,22.7870071338845,"HPX","Up"
"FGB",6.97437782693055,3.40019763613073,10.3991846444186,1.58501176260282e-14,1.1766070651055e-11,22.7721245014244,"FGB","Up"
"FGA",7.05363636616211,3.59567730680718,10.3366845252979,1.97364948164068e-14,1.38799496703594e-11,22.5606590344303,"FGA","Up"
"AMBP",6.43113189730505,3.11633796155868,10.2584350541499,2.59887579842908e-14,1.73630892093047e-11,22.2952112165428,"AMBP","Up"
"SERPINC1",5.75608201210042,2.27131770054727,10.1080619182303,4.41897561872538e-14,2.81173105797183e-11,21.7829519253269,"SERPINC1","Up"
"A1BG",5.36613122729984,2.5602288233263,10.0554383096992,5.32430631818864e-14,3.23379004652894e-11,21.603026950905,"A1BG","Up"
"TF",5.96950084104852,2.63168955050538,9.99859462853607,6.51399955076888e-14,3.78435052162495e-11,21.4082945642318,"TF","Up"
"AGXT",4.85782358985186,2.09949125048829,9.9108641130847,8.89877626022464e-14,4.95439368288007e-11,21.1069875160943,"AGXT","Up"
"APOC2",5.27863104589063,3.79745089933547,9.88000461820584,9.93286773820131e-14,5.30891914871384e-11,21.0007833822236,"APOC2","Up"
"ITIH4",5.24435347974652,2.4549226707961,9.84744958578574,1.11555627827332e-13,5.73310115011079e-11,20.8886218148082,"ITIH4","Up"
"CFHR1",5.28239397984482,2.30663521053508,9.7606552414196,1.52107882028068e-13,7.5276500728113e-11,20.5889822793846,"CFHR1","Up"
"HRG",5.82415470365669,2.42308110979887,9.65592730760992,2.21362340386295e-13,1.05637271151488e-10,20.2262698687115,"HRG","Up"
"FMO3",3.93848981733781,1.86141718385973,9.52065632375428,3.60015955960723e-13,1.6588045529473e-10,19.7559359531701,"FMO3","Up"
"TTR",5.58733917213907,3.05778904643626,9.39767760511078,5.61118529311472e-13,2.4992219295533e-10,19.326588391658,"TTR","Up"
