"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"OTOP2",-4.56337657159757,1.96187204660801,-14.4118901971115,3.39133285689574e-20,4.53149896338409e-16,35.5065042114465,"OTOP2","Down"
"BEST4",-5.08298340021413,2.47370009653285,-14.0600950027931,9.81516108820704e-20,6.55750912303112e-16,34.4836617520633,"BEST4","Down"
"CA7",-5.34974594370156,2.6516227597362,-13.1480651920296,1.65927857257579e-18,7.39042676225258e-15,31.7538830464577,"CA7","Down"
"SPIB",-3.71733621071343,2.20740773401355,-12.4982386148804,1.32752954918948e-17,4.43461245906747e-14,29.7394030451172,"SPIB","Down"
"FCN3",4.01272863482629,1.73142962252971,11.7966127644273,1.33241956157242e-16,3.56075803634614e-13,27.4992547422645,"FCN3","Up"
"NKX2-3",-2.99938352446458,1.8112695165504,-11.6782558430939,1.97834132816448e-16,4.40576613782229e-13,27.114746091097,"NKX2-3","Down"
"APOA2",7.84800697221384,4.2359423202814,11.5542612748266,2.99894970725296e-16,5.72456656975916e-13,26.7098901889799,"APOA2","Up"
"COLEC11",3.23561937191654,1.81807726272048,11.3372615961953,6.24004973404054e-16,9.70946434178272e-13,25.9963884656677,"COLEC11","Up"
"CA4",-6.42791893213567,3.97695130118985,-11.3132224436256,6.77016081030155e-16,9.70946434178272e-13,25.9169596136336,"CA4","Down"
"FOXF1-AS1",-2.51082872340227,1.95183350833738,-11.2923818505901,7.26647533436815e-16,9.70946434178272e-13,25.8480370096486,"FOXF1-AS1","Down"
"ALPI",-2.76986286249872,1.53246376133169,-11.1944416969718,1.01398524691183e-15,1.23171553356689e-12,25.5233635940476,"ALPI","Down"
"ORM2",6.29539389486745,2.71313401480376,11.090246586102,1.44728074005132e-15,1.61154710404715e-12,25.1765626039359,"ORM2","Up"
"SCARA5",-3.70091744989277,2.18904669911345,-11.017491208598,1.85693415096911e-15,1.62023688278254e-12,24.9335588009527,"SCARA5","Down"
"NPY",-1.97031432751538,0.995326414673903,-11.0122227351347,1.89080122073357e-15,1.62023688278254e-12,24.9159351279161,"NPY","Down"
"APOC2",5.8827434848239,3.79745089933547,11.0107208275198,1.90056970721647e-15,1.62023688278254e-12,24.9109104030802,"APOC2","Up"
"CLDN1",4.40391630339749,3.32937385235598,11.0047197056213,1.94011301635388e-15,1.62023688278254e-12,24.8908303371238,"CLDN1","Up"
"CLCA4",-6.89556687435948,3.96000858882198,-10.8803949471303,2.97534331623895e-15,2.33861984656382e-12,24.473778142723,"CLCA4","Down"
"D4S234E",-1.54402448122119,1.13665552100121,-10.8221378605464,3.63782888966206e-15,2.70048164575914e-12,24.2776631542955,"D4S234E","Down"
"GUCA2B",-6.11391928807336,3.55777121437123,-10.7534326009168,4.61356396307175e-15,3.2445495618192e-12,24.0458141992803,"GUCA2B","Down"
"ORM1",7.50901733281729,4.03314377982741,10.7043074419679,5.46983951247656e-15,3.65439977828559e-12,23.8796684037159,"ORM1","Up"
"TMIGD1",-6.02852115104634,3.20540591503127,-10.6570648750197,6.44464169633502e-15,3.9557957251231e-12,23.7195995345315,"TMIGD1","Down"
"APOC3",7.19287888862428,3.64855836698051,10.6516077753772,6.56800668604986e-15,3.9557957251231e-12,23.7010913320177,"APOC3","Up"
"APOA1",7.37292716916106,3.93099193753315,10.6271111315435,7.15185027311535e-15,3.9557957251231e-12,23.6179624419878,"APOA1","Up"
"FGL1",6.40973798950977,2.68470013757752,10.6235162217019,7.2418348478065e-15,3.9557957251231e-12,23.6057567908684,"FGL1","Up"
