"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",403,0.564632818495609,2.66816987203132,1e-10,1.24491228070175e-08,9.72668513388735e-09,3164,"tags=57%, list=27%, signal=44%","2971/3326/23246/9188/705/1736/79084/25879/23212/6606/10799/56902/8662/8607/5591/55299/8894/23160/51602/55226/9136/4839/9221/10813/23560/84154/26747/55646/65083/4869/55759/10528/6227/11340/23450/10360/56915/55003/51491/6628/22803/55661/5901/10885/54606/1662/6637/8568/84128/56342/51504/28987/9816/11171/6732/9875/54663/5036/51042/6636/9669/6635/9277/23404/83732/1968/22894/8602/3646/57819/285855/27340/23016/64794/8886/22984/27292/1029/51010/55035/96764/51068/11224/10171/54512/10480/8451/51388/8667/84946/6632/55695/51154/81887/6631/115416/25929/29081/6629/79050/6627/10436/3320/3692/6633/55319/6839/55651/545/51096/10969/26574/1964/6130/6201/24148/55720/51202/79833/2091/1207/6129/27339/55127/84135/84881/11056/84294/29889/10514/8669/85865/1660/54552/8175/23481/57647/79954/25804/64434/55636/10199/7514/6223/23076/64216/6165/54433/7919/51575/57418/55027/83743/26155/153443/134430/10856/10419/51018/54680/8666/7520/10248/9790/9045/83939/23378/4686/51106/55153/84549/6155/55813/8996/81875/8668/84769/6838/51634/51121/6191/57109/10607/9129/6209/113000/51406/51340/11137/8450/92856/25926/23020/88745/28985/8663/6426/6210/10728/51631/6895/11218/55341/65095/8575/22868/90459/57602/10772/10200/22827/51187/10713/6206/50628/6169/92345/6152/55006/6207/84844/11103/79039/5303/5393/6233/8562/30836/2068/6194/54960"
"BP","GO:0042254","ribosome biogenesis",279,0.582306002042672,2.66032429532409,1e-10,1.24491228070175e-08,9.72668513388735e-09,3150,"tags=61%, list=26%, signal=46%","2971/23246/9188/705/1736/25879/23212/10799/56902/5591/55299/23160/51602/55226/9136/4839/9221/10813/23560/84154/55646/65083/4869/55759/10528/6227/11340/10360/56915/55003/51491/22803/55661/5901/10885/54606/1662/8568/84128/56342/51504/28987/9816/9875/54663/5036/51042/9669/9277/23404/83732/22894/8602/285855/27340/23016/64794/8886/22984/27292/1029/51010/55035/51068/11224/10171/54512/8451/51388/84946/55695/51154/81887/115416/29081/79050/10436/3692/55319/6839/55651/51096/10969/26574/1964/6130/6201/55720/51202/2091/6129/55127/84135/84881/11056/84294/29889/10514/85865/54552/23481/57647/79954/64434/55636/10199/7514/6223/23076/64216/6165/54433/51575/57418/55027/83743/26155/153443/134430/51018/54680/7520/10248/9790/9045/83939/23378/51106/55153/84549/6155/55813/81875/84769/6838/51121/6191/57109/10607/6209/113000/51406/11137/8450/92856/25926/88745/6210/55341/65095/22868/90459/57602/10200/51187/6206/50628/6169/92345/6152/55006/6207/11103/79039/5303/5393/6233/30836/2068/6194"
"BP","GO:0006261","DNA-templated DNA replication",139,0.63735198421052,2.65319408608884,1e-10,1.24491228070175e-08,9.72668513388735e-09,2099,"tags=53%, list=18%, signal=44%","5983/990/9837/79075/23594/9401/3159/1602/5425/4175/8318/4172/1017/9156/4171/51659/2237/55388/4176/5984/4173/81620/63922/51750/5111/6742/672/5558/29980/55159/8914/64318/84296/9134/64785/26271/5423/10926/4796/5422/898/54962/6240/54107/144455/23649/1763/8317/84515/79733/1663/5557/545/7083/4998/5427/11169/5982/4683/641/3978/5888/5001/5965/9093/8099/3980/10293/57418/580/146956/10721/23595"
"BP","GO:0006364","rRNA processing",202,0.582925099720508,2.5785885015333,1e-10,1.24491228070175e-08,9.72668513388735e-09,2544,"tags=55%, list=21%, signal=44%","23246/9188/705/1736/25879/23212/10799/5591/55299/23160/51602/55226/9136/4839/9221/10813/23560/84154/55646/65083/55759/10528/6227/11340/10360/56915/55003/22803/55661/10885/54606/1662/8568/84128/56342/51504/28987/9875/54663/5036/9277/23404/83732/22894/8602/285855/27340/23016/8886/22984/27292/1029/51010/55035/11224/10171/54512/55695/51154/81887/29081/79050/10436/3692/6839/55651/51096/10969/6130/6201/55720/51202/2091/6129/55127/84135/84881/11056/84294/23481/57647/79954/55636/10199/6223/23076/64216/6165/54433/51575/57418/153443/134430/51018/54680/10248/9790/9045/23378/51106/84549/6155/55813/57109/10607/6209/113000/51406/11137/92856/25926/88745"
"BP","GO:0016072","rRNA metabolic process",233,0.572938095102336,2.5724720878395,1e-10,1.24491228070175e-08,9.72668513388735e-09,2544,"tags=53%, list=21%, signal=43%","4609/2971/23246/9188/705/1736/25879/23212/10799/51082/5591/55299/23160/51602/55226/9136/4839/9221/10813/23560/84154/55646/65083/55759/10528/6227/11340/6949/10360/56915/55003/22803/55661/10885/54606/1662/8568/84128/56342/51504/28987/4691/84172/9875/54663/5036/9277/23404/83732/22894/8602/285855/27340/23016/8886/22984/27292/1029/51010/55035/11224/10171/54512/55695/51154/81887/29081/79050/64425/10436/3692/1663/6839/55651/51096/10969/6130/6201/6597/55720/51202/2091/6129/55127/84135/84881/11056/84294/23481/57647/79954/55636/10199/6223/9330/23076/64216/6165/54433/51575/57418/53918/153443/134430/51018/54680/10248/9790/9045/23378/51106/84549/6155/55813/9329/57109/10607/6209/113000/51406/11137/92856/25926/88745"
"BP","GO:0051276","chromosome organization",487,0.528041754706479,2.52882243450053,1e-10,1.24491228070175e-08,9.72668513388735e-09,2488,"tags=44%, list=21%, signal=37%","11065/4605/22974/4609/9319/5983/29128/983/990/221150/9837/79075/387103/4085/113130/3326/9401/440145/3159/1736/83540/908/5347/7153/891/23212/55355/8480/116447/8607/5591/3833/57405/2669/332/11004/4175/8318/699/25788/55226/54892/4172/84057/29127/1017/9232/7203/4751/24137/9156/701/55839/4171/51659/2237/4176/1058/7272/26354/5984/8313/1063/9787/9493/4173/10575/991/5901/81620/9055/51203/63922/64105/146909/2146/8260/6599/9212/22919/92675/22948/51750/64946/64151/5111/6742/10576/3146/86/147841/3832/23397/64682/23310/84296/10615/10910/9134/64785/8438/26271/10574/10694/10783/81930/57820/10464/9631/29893/10592/10460/84722/11200/7283/898/9928/57122/55143/6119/11130/1104/10051/10146/10973/1763/84515/3320/22880/10403/55055/2491/10459/1663/4439/2177/55651/5925/10155/91272/89797/545/157570/9918/3619/4436/3178/55795/6950/5982/56992/286053/6597/25913/10919/4683/51434/641/54069/9700/65057/64858/3149/5888/116028/1499/1660/54552/11339/5965/220134/8881/5889/10726/1062/7515/328/8815/4928/79913/51008/79035/54433/3183/9183/53918/3837/10721/10856/23421/3704/7520/79172/3192/55183/3181/8243/9735/152185/8379/51535/7150/401541/197370/11073/55746/3184/8520/81929/23047/5985/7756/56647/6602/9184/9031"
"BP","GO:0098813","nuclear chromosome segregation",245,0.557454202577659,2.52175789900105,1e-10,1.24491228070175e-08,9.72668513388735e-09,1881,"tags=41%, list=16%, signal=35%","11065/4605/22974/81610/9319/1894/29128/983/990/221150/4085/113130/6790/440145/83540/5347/25879/7153/891/23212/3833/57405/2669/332/11004/699/54892/84057/29127/9232/4751/24137/701/79980/7272/1063/9787/9493/991/5901/81620/9055/51203/64105/146909/6599/9212/22919/64151/86/147841/3832/23397/64682/23310/10615/9134/26271/10783/81930/57820/10464/29893/10592/10460/84722/11200/7283/898/9928/55143/11130/1104/10051/259266/9133/10403/55055/2491/10459/55166/4439/2177/5925/91272/9918/3619/55795/56992/286053/6597/10919/51434/9700/116028/55920/220134/8881/10726/1062"
"BP","GO:1903046","meiotic cell cycle process",114,0.622642110013129,2.51369579883253,1e-10,1.24491228070175e-08,9.72668513388735e-09,1894,"tags=50%, list=16%, signal=42%","9319/1164/2069/994/9088/221150/1909/4488/6790/83540/5347/25879/7153/7474/25788/84057/10635/9232/7272/63979/991/993/2175/23397/23310/3976/9134/8438/26271/81930/57820/29893/10592/7283/898/11130/10051/259266/9133/56907/10403/4439/2177/811/9918/3619/23236/149986/2956/84930/10919/5810/9700/5888/220134/5889/995"
"BP","GO:0006260","DNA replication",235,0.552539418000087,2.48933606616531,1e-10,1.24491228070175e-08,9.72668513388735e-09,2140,"tags=44%, list=18%, signal=37%","6282/5983/2069/983/990/9837/79075/23594/9401/3159/1602/10535/116447/8607/5425/4175/8318/374393/4172/890/23560/1017/51514/9156/1111/4171/51659/2237/55388/27000/4176/5984/6418/4173/81620/63922/993/92675/8208/51750/5111/6742/672/5558/86/29980/55159/8914/4673/64318/84296/9134/64785/26271/7465/5423/10926/4796/5422/898/6119/54962/6240/54107/144455/23649/1763/8317/6749/84515/79733/1663/5557/545/157570/7083/4998/5427/11169/5982/10919/4683/641/3978/5888/5001/116028/1660/5965/9093/8099/79913/4784/3980/10293/57418/83743/580/146956/10721/10856/23595/10036"
"BP","GO:0032392","DNA geometric change",71,0.665282807056739,2.48438580983905,1e-10,1.24491228070175e-08,9.72668513388735e-09,2159,"tags=59%, list=18%, signal=49%","5983/9837/79075/9401/3159/7153/8607/4175/8318/25788/4172/4171/51659/4176/5984/4173/63922/92675/51750/6742/3146/84296/64785/10146/10973/1763/84515/1663/89797/5982/25913/4683/641/3149/5888/1660/5965/51008/10721/10856/7520/3181"
