"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"CC","GO:0072562","blood microparticle",80,0.860423562706781,2.98672909886016,1e-10,2.62814814814815e-08,2.16023391812866e-08,422,"tags=51%, list=4%, signal=50%","336/3240/5004/335/2266/2243/2244/259/7448/5005/3263/2638/197/213/3273/7018/462/12/3078/1/3700/5345/3827/722/8547/183/629/1356/718/720/733/2335/721/348/710/51129/6513/3075/1191/84000/715"
"BP","GO:0002526","acute inflammatory response",74,0.775001982643137,2.66624011530125,1e-10,2.62814814814815e-08,2.16023391812866e-08,758,"tags=36%, list=6%, signal=34%","3240/5004/5005/6288/197/6289/1401/12/3700/5345/7036/5265/718/2161/2214/2335/84699/54658/3557/8876/1051/2209/2215/5008/3553/9332/145741"
"CC","GO:0031093","platelet alpha granule lumen",58,0.794171874123242,2.63123669785528,1e-10,2.62814814814815e-08,2.16023391812866e-08,315,"tags=36%, list=3%, signal=35%","5004/2266/2243/2244/5005/197/213/3273/12/1/5345/3827/5265/5054/7076/3481/2335/710/7422/6678/1191"
"BP","GO:0006953","acute-phase response",33,0.883958340228177,2.62711951220318,1e-10,2.62814814814815e-08,2.16023391812866e-08,254,"tags=48%, list=2%, signal=48%","3240/5004/5005/6288/197/6289/1401/12/3700/5345/7036/5265/2335/54658/3557/1051"
"CC","GO:0031091","platelet alpha granule",78,0.752047022393754,2.59987609359939,1e-10,2.62814814814815e-08,2.16023391812866e-08,315,"tags=28%, list=3%, signal=28%","5004/2266/2243/2244/5005/197/213/3273/12/1/5345/3827/5265/5054/7058/7076/3481/2335/710/7422/6678/1191"
"CC","GO:0034358","plasma lipoprotein particle",26,0.885931765086057,2.50836681142714,1e-10,2.62814814814815e-08,2.16023391812866e-08,315,"tags=54%, list=3%, signal=53%","336/335/345/350/6288/6289/344/341/55937/3990/348/3931/4481/1191"
"CC","GO:1990777","lipoprotein particle",26,0.885931765086057,2.50836681142714,1e-10,2.62814814814815e-08,2.16023391812866e-08,315,"tags=54%, list=3%, signal=53%","336/335/345/350/6288/6289/344/341/55937/3990/348/3931/4481/1191"
"CC","GO:0034364","high-density lipoprotein particle",19,0.939941494612197,2.48803210824629,1e-10,2.62814814814815e-08,2.16023391812866e-08,315,"tags=68%, list=3%, signal=67%","336/335/345/350/6288/6289/344/341/55937/3990/348/3931/1191"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",403,0.561014928607615,2.39930291217253,1e-10,2.62814814814815e-08,2.16023391812866e-08,3660,"tags=63%, list=31%, signal=45%","2971/23246/3326/9188/705/23212/10171/1736/25879/56902/84154/8894/55299/10813/8607/23160/8662/51602/55646/4869/8568/9136/51491/10799/79084/56915/4839/9221/10528/6227/23560/5591/55003/26747/5901/65083/55661/55226/23450/51504/51042/54663/6635/55759/10360/6636/6628/10885/28987/1029/54606/11340/10969/51068/8602/9875/54512/9816/6732/115416/22803/51388/6637/84946/55651/3646/6839/84128/1968/1964/5036/56342/81887/9277/6627/64216/29889/285855/6201/51154/96764/8667/22894/11171/8451/2091/8886/1662/9669/64794/3692/51010/11224/3320/51096/6129/6629/10480/6631/23016/79050/23404/79833/22984/10436/27292/27340/10514/29081/1207/6606/55319/24148/25929/51121/84294/55127/83732/84881/55720/6633/27339/57819/51202/51018/51406/26574/23076/6632/2752/6223/57647/84135/55695/55035/83939/8669/85865/55636/26155/64434/6165/545/54433/51575/7514/79954/57602/7919/6210/22827/6169/6607/23481/83743/6152/9045/10607/10199/51634/11137/10856/10248/6130/10728/51106/84549/8668/92856/54552/134430/55794/8996/57418/1660/10419/8663/28985/79039/54680/11103/55813/51187/25926/11056/6191/8450/88745/8175/7520/6426/6155/10946/6209/23020/29777/5393/6233/25804/8562/4927/10200/6895/9790/9129/6206/10772/5303/6193/6194/51340/11157/54913/81875/55153/79033/23378/6217/153443/6431/8666/9775/84844/50628/11218/92345/51631/55341/6229/404672/65095/55027/6230/57050/6207/51116/57109/6634/2068/22868/54960/10713/113000/317781/8161/23029/9733/30836/6880/23195/6135/10658/708/6232"
"BP","GO:0042254","ribosome biogenesis",279,0.57844423182533,2.39210588635821,1e-10,2.62814814814815e-08,2.16023391812866e-08,3443,"tags=64%, list=29%, signal=47%","2971/23246/9188/705/23212/10171/1736/25879/56902/84154/55299/10813/23160/51602/55646/4869/8568/9136/51491/10799/56915/4839/9221/10528/6227/23560/5591/55003/5901/65083/55661/55226/51504/51042/54663/55759/10360/10885/28987/1029/54606/11340/10969/51068/8602/9875/54512/9816/115416/22803/51388/84946/55651/6839/84128/1964/5036/56342/81887/9277/64216/29889/285855/6201/51154/22894/8451/2091/8886/1662/9669/64794/3692/51010/11224/51096/6129/23016/79050/23404/22984/10436/27292/27340/10514/29081/55319/51121/84294/55127/83732/84881/55720/51202/51018/51406/26574/23076/2752/6223/57647/84135/55695/55035/83939/85865/55636/26155/64434/6165/54433/51575/7514/79954/57602/6210/6169/23481/83743/6152/9045/10607/10199/11137/10248/6130/51106/84549/92856/54552/134430/55794/57418/79039/54680/11103/55813/51187/25926/11056/6191/8450/88745/7520/6155/6209/29777/5393/6233/4927/10200/9790/6206/5303/6193/6194/11157/54913/81875/55153/79033/23378/6217/153443/9775/50628/92345/55341/6229/404672/65095/55027/6230/57050/6207/51116/57109/2068/22868"
