"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0098754","detoxification","23/438","167/18986",0.137724550898204,5.96995050993903,9.91301677123304,6.22684197607481e-12,2.44092205462133e-08,2.120403557116e-08,"ABCG2/AQP8/SLC22A5/PRDX6/SLC30A10/AKR1B10/MT1M/UGT1A10/FABP1/GSTM2/MT1F/MT1H/MT1E/MT1G/HBA2/HBA1/HBB/CD36/MT1X/MT2A/GPX3/ABCB1/MB",23
"BP","GO:0009636","response to toxic substance","28/438","270/18986",0.103703703703704,4.4952477591747,8.88888202412434,3.39890175082114e-11,6.66184743160944e-08,5.78707745468758e-08,"ABCG2/AQP8/TRPM6/SLC22A5/PRDX6/SLC30A10/AKR1B10/BCL2/MT1M/UGT1A10/PINK1/FABP1/GSTM2/MT1F/CCL5/MT1H/MT1E/MT1G/EPHX2/HBA2/HBA1/HBB/CD36/MT1X/MT2A/GPX3/ABCB1/MB",28
"BP","GO:0007586","digestion","18/438","144/18986",0.125,5.41837899543379,8.17851631400657,6.14193949552659e-09,8.02546760748808e-06,6.9716400940451e-06,"SLC22A5/SST/FABP1/MOGAT2/PPARGC1A/GCNT3/NKX2-3/UCN3/FABP2/PBLD/DAO/CD36/ADRA2A/SGK1/PLS1/SI/CAPN9/MUC4",18
"BP","GO:0097501","stress response to metal ion","8/438","21/18986",0.380952380952381,16.513155033703,10.9301763482506,1.17723945421506e-08,1.10174816407319e-05,9.57077151121582e-06,"SLC30A10/MT1M/MT1F/MT1H/MT1E/MT1G/MT1X/MT2A",8
"BP","GO:0034308","primary alcohol metabolic process","15/438","103/18986",0.145631067961165,6.31267455778694,8.30787858630261,1.40529102560356e-08,1.10174816407319e-05,9.57077151121582e-06,"SULT1A2/NAAA/BMP5/AKR1B10/SULT1A1/SCNN1B/BMP2/DHRS9/SULT1B1/HSD11B2/GDPD3/ADH1C/ADH1B/RDH5/RETSAT",15
"BP","GO:0061687","detoxification of inorganic compound","8/438","23/18986",0.347826086956522,15.0772285090332,10.3805739876191,2.7238032990289e-08,1.55274271298398e-05,1.34885141689129e-05,"SLC30A10/MT1M/MT1F/MT1H/MT1E/MT1G/MT1X/MT2A",8
"BP","GO:0010273","detoxification of copper ion","7/438","16/18986",0.4375,18.9643264840183,11.0466622977176,3.16886267955914e-08,1.55274271298398e-05,1.34885141689129e-05,"MT1M/MT1F/MT1H/MT1E/MT1G/MT1X/MT2A",7
"BP","GO:1990169","stress response to copper ion","7/438","16/18986",0.4375,18.9643264840183,11.0466622977176,3.16886267955914e-08,1.55274271298398e-05,1.34885141689129e-05,"MT1M/MT1F/MT1H/MT1E/MT1G/MT1X/MT2A",7
"BP","GO:0071294","cellular response to zinc ion","8/438","24/18986",0.333333333333333,14.4490106544901,10.1308923301721,4.0036843594848e-08,1.74382696546449e-05,1.51484431613255e-05,"P2RX4/MT1M/MT1F/MT1H/MT1E/MT1G/MT1X/MT2A",8
"BP","GO:0006631","fatty acid metabolic process","29/438","405/18986",0.0716049382716049,3.10386154800158,6.57663801458955,7.82327180533897e-08,3.06672254769288e-05,2.66402992529175e-05,"APPL2/ACADS/NAAA/UGT1A8/ABHD3/HPGD/ACSF2/UGT1A10/FABP1/CYP4F12/CEACAM1/HPGDS/MGLL/PPARGC1A/GSTM2/ACAA2/ADTRP/PLP1/PCK1/CES2/ETFDH/EDN2/FABP2/TNXB/PDK4/CD36/ACAT1/ECH1/PLA2G10",29
"BP","GO:0006066","alcohol metabolic process","27/438","363/18986",0.0743801652892562,3.22415940224159,6.57488577915865,1.02955151465072e-07,3.66894721584622e-05,3.1871762199953e-05,"SULT1A2/AQP8/NAAA/BMP5/AKR1B10/ABCA5/SULT1A1/P2RY1/MOGAT2/ITPKA/SCNN1B/ACAA2/BMP2/DHRS9/PCK1/SULT1B1/HSD11B2/GDPD3/HMGCS2/EPHX2/ADH1C/ADH1B/APOBR/RDH5/FMO5/RETSAT/NR1H4",27
"BP","GO:0006882","intracellular zinc ion homeostasis","9/438","37/18986",0.243243243243243,10.5438726397631,8.92947985190518,1.19593341466852e-07,3.90671582125048e-05,3.39372333022162e-05,"SLC30A10/MT1M/MT1F/MT1H/MT1E/MT1G/SLC1A1/MT1X/MT2A",9
"BP","GO:0042445","hormone metabolic process","21/438","241/18986",0.0871369294605809,3.77712726652646,6.66738285244026,2.06556510108314e-07,6.22847322788146e-05,5.41060979919348e-05,"DHRS11/UGT1A8/BMP5/AKR1B10/HSD17B2/SULT1A1/SCNN1B/BMP2/UGT2A3/DHRS9/PAPSS2/SULT1B1/ADH1C/HSD3B2/ADH1B/CTSG/MEP1A/RDH5/PCSK6/RETSAT/PCSK1N",21
"BP","GO:0006821","chloride transport","15/438","128/18986",0.1171875,5.07973030821918,7.11676190261272,2.6891835165702e-07,7.52971384639655e-05,6.54098396699593e-05,"BEST4/CA7/CLCA4/CA2/SLC26A2/SLC26A3/CLIC5/ANO7/FXYD1/ATP8B1/SLC1A1/CLCA1/BEST2/FXYD3/ABCB1",15
"BP","GO:0015698","inorganic anion transport","17/438","174/18986",0.0977011494252874,4.23505484700572,6.58768158716492,6.08436002266334e-07,0.000159004608592269,0.000138125646830287,"BEST4/CA7/CLCA4/SLC17A4/SLC4A4/CA2/SLC26A2/SLC26A3/CLIC5/ANO7/FXYD1/ATP8B1/SLC1A1/CLCA1/BEST2/FXYD3/ABCB1",17
"BP","GO:0016042","lipid catabolic process","25/438","351/18986",0.0712250712250712,3.08739543899361,6.06579043944866,6.89988020646291e-07,0.000169047065058341,0.000146849424130971,"PLCD1/FUCA1/ACADS/PRDX6/NAAA/ABHD3/HPGD/PLCE1/AKR1B10/PLCD3/FABP1/CYP4F12/NEU4/MGLL/ACAA2/ADTRP/PCK1/GDPD3/ETFDH/ADRA2A/ACAT1/ECH1/GBA3/LIPH/PLA2G10",25
"BP","GO:0006820","monoatomic anion transport","17/438","177/18986",0.096045197740113,4.16327425637851,6.49732273063131,7.74634394281266e-07,0.000178621577975445,0.000155166703746123,"BEST4/CA7/CLCA4/SLC17A4/SLC4A4/CA2/SLC26A2/SLC26A3/CLIC5/ANO7/FXYD1/ATP8B1/SLC1A1/CLCA1/BEST2/FXYD3/ABCB1",17
