"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0043270","positive regulation of monoatomic ion transport","35/789","215/18986",0.162790697674419,3.91729301146579,8.95776121855219,3.93300636062839e-12,1.86817802129849e-08,1.54339449604449e-08,"P2RX1/EDN3/GCG/SLC9A1/BDKRB1/PLP1/P2RY1/SCN4B/GPD1L/ANK3/P2RX4/GSTM2/CHP1/SRI/CD19/LRRC26/AKAP5/ATP1B3/CAV1/LGALS3/HSPA2/ANK2/FHL1/HEPH/ADRA2A/FXYD3/MS4A1/AKAP7/CCL5/ATP2C2/KCNMB1/MYLK/PRSS8/JPH2/MIR210",35
"BP","GO:0050900","leukocyte migration","49/789","404/18986",0.121287128712871,2.91857721893862,8.11647850548752,1.71731046048556e-11,4.07861234365319e-08,3.36954389299482e-08,"NKX2-3/GPR15/PTN/CD177/CHGA/MMP28/EDN3/CCL28/ADTRP/BMP5/MADCAM1/SCG2/CTSG/BDKRB1/PTGER4/PTK2B/CCL11/PADI2/KITLG/SMPD3/P2RX4/MAPK3/TRPM4/KIT/BSG/APOD/PDGFD/JAM2/ITGB7/ASB2/LGALS3/CCL15/MCOLN2/NBL1/TNFRSF11A/CCL23/EDN2/MMP2/GP2/F2RL1/ITGA3/CCL5/CCL13/GREM1/ST3GAL4/S100A14/DUSP1/LYVE1/CXCL13",49
"BP","GO:0043269","regulation of monoatomic ion transport","54/789","480/18986",0.1125,2.70712927756654,7.88814082234849,2.92508100416965e-11,4.63137825660194e-08,3.8262112222963e-08,"CA7/P2RX1/EDN3/CA2/GCG/SLC9A1/BDKRB1/PLP1/PTK2B/P2RY1/SCN4B/GPD1L/ANK3/ATP8B1/P2RX4/PDE4D/GSTM2/VAMP2/NEDD4L/CHP1/SLC6A9/SRI/CD19/LRRC26/BCL2/AKAP5/ATP1B3/CAV1/B2M/LGALS3/KCNS3/OSR1/HSPA2/FKBP1B/ANK2/FHL1/HEPH/AHNAK/ATP1A2/ADRA2A/FXYD3/MS4A1/PLN/AKAP7/CCL5/ABCB1/ATP2C2/CASQ2/KCNMB1/MYLK/MIR192/PRSS8/JPH2/MIR210",54
"BP","GO:0010959","regulation of metal ion transport","48/789","408/18986",0.117647058823529,2.83098486542906,7.78501155652439,8.11451864977999e-11,9.63599089661373e-08,7.9607698753631e-08,"P2RX1/EDN3/GCG/SLC9A1/BDKRB1/PLP1/PTK2B/SCN4B/GPD1L/ANK3/P2RX4/PDE4D/GSTM2/VAMP2/NEDD4L/CHP1/SRI/CD19/LRRC26/BCL2/AKAP5/ATP1B3/CAV1/B2M/LGALS3/KCNS3/OSR1/HSPA2/FKBP1B/ANK2/FHL1/HEPH/AHNAK/ATP1A2/ADRA2A/FXYD3/MS4A1/PLN/AKAP7/CCL5/ATP2C2/CASQ2/KCNMB1/MYLK/MIR192/PRSS8/JPH2/MIR210",48
"BP","GO:1904062","regulation of monoatomic cation transmembrane transport","40/789","318/18986",0.125786163522013,3.02683916429522,7.58975673450419,4.32784047695343e-10,4.11144845310575e-07,3.39667143117524e-07,"P2RX1/EDN3/SLC9A1/BDKRB1/PLP1/PTK2B/SCN4B/ANK3/P2RX4/PDE4D/GSTM2/VAMP2/NEDD4L/CHP1/SRI/CD19/LRRC26/BCL2/AKAP5/ATP1B3/CAV1/KCNS3/OSR1/HSPA2/FKBP1B/ANK2/FHL1/HEPH/AHNAK/ATP1A2/ADRA2A/FXYD3/MS4A1/PLN/AKAP7/CASQ2/KCNMB1/MIR192/JPH2/MIR210",40
"BP","GO:0034765","regulation of monoatomic ion transmembrane transport","41/789","354/18986",0.115819209039548,2.78700063729386,7.06708810116592,3.15734392510902e-09,2.49956394071131e-06,2.06501371101867e-06,"P2RX1/EDN3/SLC9A1/BDKRB1/PLP1/PTK2B/SCN4B/ANK3/P2RX4/PDE4D/GSTM2/VAMP2/NEDD4L/CHP1/SLC6A9/SRI/CD19/LRRC26/BCL2/AKAP5/ATP1B3/CAV1/KCNS3/OSR1/HSPA2/FKBP1B/ANK2/FHL1/HEPH/AHNAK/ATP1A2/ADRA2A/FXYD3/MS4A1/PLN/AKAP7/CASQ2/KCNMB1/MIR192/JPH2/MIR210",41
"BP","GO:0006936","muscle contraction","41/789","358/18986",0.114525139664804,2.75586096536879,6.98381019416783,4.39401660524139e-09,2.98165412498523e-06,2.46329231644209e-06,"P2RX1/BDKRB2/CHGA/EDN3/SCNN1B/SLC9A1/PDE5A/SCN4B/GPD1L/SSPN/GSN/P2RX4/PDE4D/GSTM2/TRPM4/NEDD4L/KIT/SRI/MAP2K6/CAV1/DES/DSC2/FKBP1B/ANK2/MYH11/EDN2/ATP1A2/SCN7A/ADRA2A/LMOD1/CHRNA3/PPP1R12B/PLN/CRYAB/SLC6A8/KCNMA1/RGS2/CASQ2/CNN1/MYLK/SYNM",41
"BP","GO:1904064","positive regulation of cation transmembrane transport","24/789","144/18986",0.166666666666667,4.01056189269117,7.55108243028803,5.89957161418673e-09,3.50287064592337e-06,2.89389512864317e-06,"P2RX1/EDN3/SLC9A1/BDKRB1/PLP1/ANK3/P2RX4/GSTM2/CHP1/SRI/CD19/LRRC26/AKAP5/ATP1B3/CAV1/HSPA2/ANK2/HEPH/FXYD3/MS4A1/AKAP7/KCNMB1/JPH2/MIR210",24
"BP","GO:0034762","regulation of transmembrane transport","49/789","487/18986",0.100616016427105,2.42116056766161,6.61572444681159,1.04691382898709e-08,5.5253785418763e-06,4.56478918650745e-06,"P2RX1/APPL2/EDN3/CA2/SLC9A1/BDKRB1/PLP1/PTK2B/SCN4B/ANK3/ITLN1/RNASEL/P2RX4/PDE4D/GSTM2/VAMP2/NEDD4L/CHP1/SLC6A9/SRI/CD19/LRRC26/BCL2/AKAP5/SIRT6/ATP1B3/CAV1/KCNS3/OSR1/HSPA2/FKBP1B/ANK2/FHL1/PID1/HEPH/AHNAK/ATP1A2/ADRA2A/FXYD3/MS4A1/HK2/PLN/AKAP7/RGS2/CASQ2/KCNMB1/MIR192/JPH2/MIR210",49
"BP","GO:0055119","relaxation of cardiac muscle","9/789","18/18986",0.5,12.0316856780735,9.75014930206264,1.22579857662668e-08,5.82254323897672e-06,4.81029167754132e-06,"CHGA/PDE5A/GSN/P2RX4/PDE4D/GSTM2/ATP1A2/PLN/RGS2",9
