"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0016053","organic acid biosynthetic process","48/656","334/18986",0.143712574850299,4.15933985687162,11.0200322215268,4.18055710085834e-17,2.03425908527767e-13,1.50984120137316e-13,"APOC2/APOC3/CYP2E1/FMO3/APOC1/AGXT/PAH/SLC27A5/CPS1/CYP2C9/RGN/MLXIPL/TRIB3/MTHFD1L/PSAT1/GATM/SHMT2/GAMT/PROX1/INSIG1/CYP2D6/LIPC/SCD/FASN/KYNU/ELOVL5/CYP3A4/CYP39A1/SLC1A3/GLS2/MIF/MTHFD1/ABHD2/CES1/LIPG/ERRFI1/CBS/OTC/SDS/FGFR4/FADS1/CYP27A1/PHGDH/FADS2/RBP1/PYCR1/ABAT/IL1B",48
"BP","GO:0046394","carboxylic acid biosynthetic process","47/656","331/18986",0.141993957703928,4.10959951366885,10.7968437862816,1.455148967454e-16,3.54037743781558e-13,2.62769268807088e-13,"APOC2/APOC3/CYP2E1/APOC1/AGXT/PAH/SLC27A5/CPS1/CYP2C9/RGN/MLXIPL/TRIB3/MTHFD1L/PSAT1/GATM/SHMT2/GAMT/PROX1/INSIG1/CYP2D6/LIPC/SCD/FASN/KYNU/ELOVL5/CYP3A4/CYP39A1/SLC1A3/GLS2/MIF/MTHFD1/ABHD2/CES1/LIPG/ERRFI1/CBS/OTC/SDS/FGFR4/FADS1/CYP27A1/PHGDH/FADS2/RBP1/PYCR1/ABAT/IL1B",47
"BP","GO:0006959","humoral immune response","45/656","310/18986",0.145161290322581,4.20126868607396,10.7507070737703,2.82333964504631e-16,4.57945690426512e-13,3.39890467443996e-13,"FCN3/COLEC11/FGB/FGA/HPX/CFHR1/TF/HRG/HAMP/CFI/KNG1/C5/C4BPA/CFB/C4BPB/C2/MMP7/SLC11A1/C8G/C4B/CXCL6/C3/CXCL2/LEAP2/TREM2/TREM1/C4A/SERPING1/CCL3/CXCL10/S100A9/CXCL11/CCL4/SPON2/ANG/CFH/C1R/CXCL9/MASP1/CCL4L1/CXCL3/CLU/C1S/IL1B/CCL18",45
"BP","GO:0009410","response to xenobiotic stimulus","54/656","451/18986",0.119733924611973,3.46534800713861,10.0241186011576,1.41302984527405e-15,1.71895080677588e-12,1.27581721029875e-12,"APOA2/CYP2E1/PLIN2/CPS1/CYP2C9/ACSL1/NNMT/SLCO1B3/AOX1/TNFRSF11B/CCND1/CYP2D6/PON3/CTPS1/MMP7/GSTO1/COMT/CDH3/MYC/COL18A1/CYP3A4/SLC29A1/LRP8/SLC1A3/E2F1/CYP2B6/AKR1C1/PDX1/CYP1B1/RAD54B/CA9/SMOX/UGT2B7/ERRFI1/UGT1A6/FBP1/FOSL1/CRYZ/COL1A1/UGT1A1/CYP4F2/DPEP1/OTC/KCNJ8/IGFBP2/ITGA2/CDK1/CCNO/GSTA1/ABAT/MAOB/UGT2B15/IL1B/CYP2W1",54
"BP","GO:0006956","complement activation","21/656","67/18986",0.313432835820896,9.0713960684383,12.5202488129114,4.3311845099211e-15,4.21510876505522e-12,3.12848295863985e-12,"FCN3/COLEC11/CFHR1/CFI/C5/C4BPA/CFB/C4BPB/C2/C8G/C4B/C3/TREM2/C4A/SERPING1/CFH/C1R/MASP1/CLU/C1S/IL1B",21
"BP","GO:0006869","lipid transport","53/656","459/18986",0.115468409586057,3.34189515914767,9.60831491713512,1.19362165789997e-14,9.68027164556873e-12,7.18476475132419e-12,"APOA2/APOC2/APOC3/APOA1/APOH/APOC1/SPP1/AQP9/RBP4/AGT/SLC27A5/PLIN2/NR0B2/APOM/ACSL1/ATP11A/SLCO1B3/SLCO4A1/LIPC/INHBA/COMT/TMEM97/SHH/SIGMAR1/GLTPD2/APOE/SLC13A3/MSR1/AKR1C1/MIF/TREM2/CES1/LIPG/PCSK9/FABP6/SYT7/CYP4F2/LCAT/SLC43A3/GRAMD1A/KCNJ8/STRA6/LDLR/AGTR1/TTPA/SLC2A1/RBP1/FABP3/PLA2G12B/RBP5/CLU/IL1B/PRAP1",53
"BP","GO:0008202","steroid metabolic process","44/656","334/18986",0.131736526946108,3.81272820213232,9.81102281556622,2.20906460609703e-14,1.53561548189545e-11,1.13974446067954e-11,"APOA2/APOA1/CYP2E1/GC/APOC1/SPP1/HSD11B1/SLC27A5/SEC14L2/NR0B2/CYP2C9/SERPINA6/PROX1/INSIG1/CYP2D6/LIPC/INHBA/DHCR7/SHH/SNAI1/HSD17B6/CYP3A4/MSMO1/CYP39A1/APOE/SQLE/CYP2B6/AKR1C1/EBPL/CYP1B1/CES1/PCSK9/UGT2B7/ERRFI1/UGT1A1/LCAT/SULT2B1/TM7SF2/LEPR/FGFR4/LDLR/IGFBP7/CYP27A1/UGT2B15",44
"BP","GO:1900047","negative regulation of hemostasis","18/656","51/18986",0.352941176470588,10.2148493543759,12.4656997140523,3.76355883531472e-14,2.28918466158018e-11,1.69904873210063e-11,"FGG/VTN/FGB/FGA/APOH/SERPINF2/F12/HRG/PROC/KNG1/SERPINE1/APOE/FAP/SERPING1/COMP/SERPINE2/TFPI/PROS1",18
"BP","GO:0002526","acute inflammatory response","25/656","110/18986",0.227272727272727,6.57774390243902,11.0987972094316,4.24136288780475e-14,2.2931635346731e-11,1.70200187930504e-11,"ORM2/ORM1/HP/AHSG/CRP/SERPINF2/F12/ITIH4/SAA2/TFR2/FCGR3A/SERPINA3/SAA1/CEBPB/SERPINA1/FCGR1A/FN1/C3/CREB3L3/IL1RN/UGT1A1/OSM/VNN1/FCGR3B/IL1B",25
"BP","GO:0006953","acute-phase response","17/656","48/18986",0.354166666666667,10.2503175813008,12.1390917433064,1.81635174923418e-13,8.45250420183301e-11,6.27350723959786e-11,"ORM2/ORM1/HP/AHSG/CRP/SERPINF2/ITIH4/SAA2/TFR2/SERPINA3/SAA1/CEBPB/SERPINA1/FN1/IL1RN/UGT1A1/IL1B",17
"BP","GO:1900046","regulation of hemostasis","20/656","71/18986",0.28169014084507,8.15269666781175,11.4227796017502,1.91075927291745e-13,8.45250420183301e-11,6.27350723959786e-11,"FGG/VTN/FGB/FGA/APOH/SERPINF2/SERPINC1/F12/HRG/PROC/KNG1/SERPINE1/APOE/FAP/SERPING1/F2R/COMP/SERPINE2/TFPI/PROS1",20
"BP","GO:0030195","negative regulation of blood coagulation","17/656","50/18986",0.34,9.84030487804878,11.8408835642109,3.95066549362707e-13,1.60199485766578e-10,1.18901169373987e-10,"FGG/VTN/FGB/FGA/APOH/SERPINF2/F12/HRG/PROC/KNG1/SERPINE1/APOE/FAP/SERPING1/SERPINE2/TFPI/PROS1",17
"BP","GO:0030193","regulation of blood coagulation","19/656","69/18986",0.27536231884058,7.96955638034641,10.9718418015375,1.20846292209313e-12,4.52336967608089e-10,3.35727634469759e-10,"FGG/VTN/FGB/FGA/APOH/SERPINF2/SERPINC1/F12/HRG/PROC/KNG1/SERPINE1/APOE/FAP/SERPING1/F2R/SERPINE2/TFPI/PROS1",19
"BP","GO:0050819","negative regulation of coagulation","17/656","54/18986",0.314814814814815,9.11139340560072,11.2919796112139,1.66268282546317e-12,5.77901044907415e-10,4.28922163470989e-10,"FGG/VTN/FGB/FGA/APOH/SERPINF2/F12/HRG/PROC/KNG1/SERPINE1/APOE/FAP/SERPING1/SERPINE2/TFPI/PROS1",17
"BP","GO:0050818","regulation of coagulation","19/656","76/18986",0.25,7.23551829268293,10.3040884329417,7.96741555739139e-12,2.58462960681777e-09,1.91833001946736e-09,"FGG/VTN/FGB/FGA/APOH/SERPINF2/SERPINC1/F12/HRG/PROC/KNG1/SERPINE1/APOE/FAP/SERPING1/F2R/SERPINE2/TFPI/PROS1",19
"BP","GO:0042060","wound healing","47/656","444/18986",0.105855855855856,3.06368792573061,8.32402177896773,9.18912087628896e-12,2.63809737937354e-09,1.95801417107548e-09,"CLDN1/FGL1/FGG/VTN/FGB/FGA/APOH/SERPINF2/SERPINC1/F12/HRG/SERPINA10/TNFRSF12A/SAA1/AJUBA/TIMP1/PROC/KNG1/SERPINA1/SERPINE1/C4BPB/SLC11A1/F10/VEGFA/FN1/TMEM97/SHH/APOE/FAP/SDC4/SERPING1/SYT7/LRG1/CYP4F2/F2R/EREG/MSX2/ITGA2/FKBP10/COL5A1/COMP/SERPINE2/PTK7/TFPI/TFPI2/PROS1/FERMT1",47
"BP","GO:0072330","monocarboxylic acid biosynthetic process","32/656","224/18986",0.142857142857143,4.1345818815331,8.92770950012406,9.47305494717595e-12,2.63809737937354e-09,1.95801417107548e-09,"APOC2/APOC3/CYP2E1/APOC1/SLC27A5/CYP2C9/RGN/MLXIPL/TRIB3/GATM/GAMT/PROX1/INSIG1/CYP2D6/LIPC/SCD/FASN/ELOVL5/CYP3A4/CYP39A1/MIF/ABHD2/CES1/LIPG/ERRFI1/SDS/FGFR4/FADS1/CYP27A1/FADS2/RBP1/IL1B",32
"BP","GO:0043691","reverse cholesterol transport","11/656","20/18986",0.55,15.9181402439024,12.6275122430938,9.75868327758401e-12,2.63809737937354e-09,1.95801417107548e-09,"APOA2/APOC2/APOC3/APOA1/APOM/LIPC/APOE/CES1/LIPG/LCAT/CLU",11
"BP","GO:0030198","extracellular matrix organization","40/656","339/18986",0.117994100294985,3.41499388445212,8.48764852291491,1.20695752373036e-11,3.09108174235366e-09,2.29422230688027e-09,"VTN/SERPINF2/AGT/HPN/PRDX4/TGFBI/TNFRSF11B/ADAMTSL2/ADAMTS2/MMP7/COL4A1/GAS2/P4HA1/COL18A1/ADAMTS4/FAP/CYP1B1/COL4A2/COL1A1/SMOC1/MMP9/TMPRSS6/FGFR4/ITGA2/SOX9/FKBP10/SULF1/COL10A1/COL5A1/OLFML2B/LOXL2/COMP/MMP11/COL5A2/COL11A1/AXIN2/COL1A2/FERMT1/POSTN/SERPINB5",40
"BP","GO:0043062","extracellular structure organization","40/656","340/18986",0.117647058823529,3.40494978479197,8.46503229416502,1.32415700341872e-11,3.22167398931774e-09,2.39114877827875e-09,"VTN/SERPINF2/AGT/HPN/PRDX4/TGFBI/TNFRSF11B/ADAMTSL2/ADAMTS2/MMP7/COL4A1/GAS2/P4HA1/COL18A1/ADAMTS4/FAP/CYP1B1/COL4A2/COL1A1/SMOC1/MMP9/TMPRSS6/FGFR4/ITGA2/SOX9/FKBP10/SULF1/COL10A1/COL5A1/OLFML2B/LOXL2/COMP/MMP11/COL5A2/COL11A1/AXIN2/COL1A2/FERMT1/POSTN/SERPINB5",40
"BP","GO:0045229","external encapsulating structure organization","40/656","341/18986",0.117302052785924,3.39496459480724,8.44250022995644,1.45216825740413e-11,3.36488130501357e-09,2.49743824117973e-09,"VTN/SERPINF2/AGT/HPN/PRDX4/TGFBI/TNFRSF11B/ADAMTSL2/ADAMTS2/MMP7/COL4A1/GAS2/P4HA1/COL18A1/ADAMTS4/FAP/CYP1B1/COL4A2/COL1A1/SMOC1/MMP9/TMPRSS6/FGFR4/ITGA2/SOX9/FKBP10/SULF1/COL10A1/COL5A1/OLFML2B/LOXL2/COMP/MMP11/COL5A2/COL11A1/AXIN2/COL1A2/FERMT1/POSTN/SERPINB5",40
"BP","GO:0046942","carboxylic acid transport","41/656","357/18986",0.11484593837535,3.32387955182073,8.38549953485625,1.58096162397956e-11,3.49679966467479e-09,2.59534896261908e-09,"AQP9/AGXT/SLC27A5/PLIN2/NR0B2/SLC22A3/ACSL1/SLCO1B3/SLC25A32/SLC5A6/SLCO4A1/SLC6A6/SLC11A1/SLC19A2/TTYH3/CLDN2/SLC7A5/SLC25A15/APOE/MFSD12/SLC1A3/SLC13A3/SLC38A4/AKR1C1/MIF/CES1/RGS4/FABP6/SLC43A1/CYP4F2/SLC43A3/KCNJ8/SLC7A1/SLC7A2/SLC2A1/RBP1/ABAT/FABP3/PLA2G12B/RBP5/IL1B",41
"BP","GO:0015849","organic acid transport","41/656","358/18986",0.114525139664804,3.31459497206704,8.36391079115416,1.72837503087902e-11,3.65664039141623e-09,2.71398385855649e-09,"AQP9/AGXT/SLC27A5/PLIN2/NR0B2/SLC22A3/ACSL1/SLCO1B3/SLC25A32/SLC5A6/SLCO4A1/SLC6A6/SLC11A1/SLC19A2/TTYH3/CLDN2/SLC7A5/SLC25A15/APOE/MFSD12/SLC1A3/SLC13A3/SLC38A4/AKR1C1/MIF/CES1/RGS4/FABP6/SLC43A1/CYP4F2/SLC43A3/KCNJ8/SLC7A1/SLC7A2/SLC2A1/RBP1/ABAT/FABP3/PLA2G12B/RBP5/IL1B",41
"BP","GO:0042730","fibrinolysis","12/656","27/18986",0.444444444444444,12.8631436314363,11.669438118318,2.83270610266508e-11,5.74331162315345e-09,4.26272571852802e-09,"FGG/VTN/FGB/FGA/APOH/SERPINF2/F12/HRG/SERPINE1/FAP/SERPING1/PROS1",12
"BP","GO:0015711","organic anion transport","47/656","462/18986",0.101731601731602,2.94432346109175,8.00383461549473,3.67498389540565e-11,6.99831298475337e-09,5.19419643296965e-09,"AQP9/AGXT/SLC27A5/PLIN2/NR0B2/SLC22A3/ACSL1/SLCO1B3/SLC25A32/SLC5A6/SLCO4A1/SLC6A6/SLC11A1/SLC19A2/TTYH3/CLDN2/SLC7A5/SLC25A15/GLTPD2/APOE/MFSD12/SLC1A3/SLC13A3/SLC38A4/SLC39A10/AKR1C1/MIF/CES1/RGS4/SLC2A9/FABP6/SLC43A1/CYP4F2/SLC43A3/KCNJ8/SLC7A1/SLC7A2/SLC2A1/RBP1/ABAT/FABP3/SLC2A3/SLC17A9/SLC35D3/PLA2G12B/RBP5/IL1B",47
"BP","GO:0015850","organic hydroxy compound transport","36/656","292/18986",0.123287671232877,3.56820080187103,8.36652805580172,3.73933698322211e-11,6.99831298475337e-09,5.19419643296965e-09,"APOA2/APOC2/APOC3/APOA1/APOC1/SPP1/AQP9/RBP4/AGT/SLC27A5/NR0B2/SLC22A3/APOM/SLCO1B3/LIPC/SLC19A2/COMT/TMEM97/SHH/APOE/MSR1/AKR1C1/TREM2/CES1/LIPG/PCSK9/SYT7/TGM2/LCAT/GRAMD1A/STRA6/LDLR/AGTR1/ABAT/MAOB/CLU",36
"BP","GO:0016125","sterol metabolic process","26/656","159/18986",0.163522012578616,4.73266605307562,8.94135063048943,4.00466667115395e-11,7.21729926734635e-09,5.35672957065466e-09,"APOA2/APOA1/APOC1/SEC14L2/NR0B2/CYP2C9/INSIG1/CYP2D6/LIPC/DHCR7/CYP3A4/MSMO1/CYP39A1/APOE/SQLE/EBPL/CYP1B1/CES1/PCSK9/ERRFI1/LCAT/SULT2B1/TM7SF2/LEPR/LDLR/CYP27A1",26
"BP","GO:0006958","complement activation, classical pathway","14/656","42/18986",0.333333333333333,9.64735772357723,10.6132456376027,6.50755744472119e-11,1.09340143708453e-08,8.11530129715754e-09,"CFI/C5/C4BPA/C4BPB/C2/C8G/C4B/C3/TREM2/C4A/SERPING1/C1R/CLU/C1S",14
"BP","GO:0034367","protein-containing complex remodeling","13/656","35/18986",0.371428571428571,10.7499128919861,10.9218115800218,6.51636696988313e-11,1.09340143708453e-08,8.11530129715754e-09,"APOA2/APOC2/APOC3/APOA1/APOC1/AGT/APOM/LIPC/APOE/LIPG/LCAT/DIAPH3/AGTR1",13
"BP","GO:0042632","cholesterol homeostasis","21/656","106/18986",0.19811320754717,5.73380694891855,9.24567170433901,7.50668951973832e-11,1.21758504010155e-08,9.03700061130602e-09,"APOA2/APOC2/APOC3/APOA1/DGAT2/APOM/INSIG1/LIPC/TMEM97/CYP39A1/APOE/AKR1C1/CES1/LIPG/PCSK9/ERRFI1/LCAT/FGFR4/LDLR/FABP3/PLA2G12B",21
"BP","GO:0055092","sterol homeostasis","21/656","107/18986",0.196261682242991,5.68021996808753,9.18427012834918,9.04190097605836e-11,1.41928677901613e-08,1.0534044906233e-08,"APOA2/APOC2/APOC3/APOA1/DGAT2/APOM/INSIG1/LIPC/TMEM97/CYP39A1/APOE/AKR1C1/CES1/LIPG/PCSK9/ERRFI1/LCAT/FGFR4/LDLR/FABP3/PLA2G12B",21
"BP","GO:0008203","cholesterol metabolic process","24/656","148/18986",0.162162162162162,4.69330916282136,8.53306615909297,2.70000273356851e-10,4.10569165673262e-08,3.04727282199789e-08,"APOA2/APOA1/APOC1/SEC14L2/NR0B2/CYP2C9/INSIG1/CYP2D6/LIPC/DHCR7/CYP3A4/MSMO1/CYP39A1/APOE/SQLE/CES1/PCSK9/ERRFI1/LCAT/SULT2B1/TM7SF2/LEPR/LDLR/CYP27A1",24
