"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","11/262","61/9399",0.180327868852459,6.46909022650482,7.25637343062428,7.7836779459923e-07,0.000214829511309388,0.0001917242778276,"TRPM6/SLC26A3/MT1M/SLC6A19/MT1F/MT1H/MT1E/MT1G/MT1X/MT2A/SLC9A3",11
"Organismal Systems","Digestive system","hsa04976","Bile secretion","12/262","90/9399",0.133333333333333,4.78320610687023,6.10655531136628,6.77971018167261e-06,0.00093560000507082,0.000834974832900732,"ABCG2/AQP8/SLC4A4/CA2/UGT1A8/UGT1A10/ADCY5/UGT2A3/PRKACB/ABCB1/SLC9A3/NR1H4",12
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","10/262","73/9399",0.136986301369863,4.91425284952421,5.68498279208073,3.15457914315149e-05,0.00290221281169937,0.00259007550700859,"UGT1A8/GSTM5/UGT1A10/HPGDS/GSTM2/UGT2A3/ADH1C/ADH1B/MAOA/FMO5",10
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","5/262","17/9399",0.294117647058824,10.5511899416255,6.67422405271196,7.61451656805989e-05,0.00450760504313146,0.00402280541606698,"CA7/CA4/CA1/CA2/CA12",5
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","9/262","66/9399",0.136363636363636,4.89191533657182,5.37268368785309,8.16595116509322e-05,0.00450760504313146,0.00402280541606698,"DHRS11/UGT1A8/HSD17B2/UGT1A10/UGT2A3/DHRS9/HSD11B2/HSD3B2/RDH5",9
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","4/262","10/9399",0.4,14.3496183206107,7.15197080509693,0.000108548855844316,0.00499324736883854,0.00445621618729298,"ETHE1/TST/SELENBP1/PAPSS2",4
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","9/262","70/9399",0.128571428571429,4.61237731733915,5.13678198282289,0.000130198143615039,0.00513352680539296,0.00458140836179235,"SULT1A2/UGT1A8/GSTM5/UGT1A10/SULT1A1/HPGDS/GSTM2/UGT2A3/NAT2",9
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","5/262","23/9399",0.217391304347826,7.79870560902755,5.52774382875682,0.000360992343651691,0.0124542358559833,0.0111147642650652,"CA4/SLC4A4/CA2/PCK1/SLC9A3",5
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","9/262","82/9399",0.109756097560976,3.93739527089927,4.52374195044012,0.000438667224503093,0.0124940675610449,0.0111503120110012,"UGT1A8/GSTM5/UGT1A10/GSTM2/UGT2A3/CES2/XDH/NAT2/CDA",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","10/262","100/9399",0.1,3.58740458015267,4.40466387280424,0.000454481564412851,0.0124940675610449,0.0111503120110012,"CCL23/IL6R/CXCL12/CCL5/CCL15/CCL28/CXCL14/CXCL13/CCL14/CCL19",10
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","6/262","37/9399",0.162162162162162,5.81741283268001,4.97160896363967,0.000497951968012661,0.0124940675610449,0.0111503120110012,"UGT1A8/UGP2/AKR1B10/UGT1A10/UGDH/UGT2A3",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","8/262","68/9399",0.117647058823529,4.2204759766502,4.51312101684404,0.000569338343375466,0.0130947818976357,0.0116864186271806,"UGT1A8/UGT1A10/UGT2A3/DHRS9/ADH1C/ADH1B/RDH5/RETSAT",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","19/262","298/9399",0.063758389261745,2.28727137660741,3.82384465777656,0.000660092357020888,0.014014268502905,0.0125070130803958,"TNFRSF13B/BMP3/IL1R2/TNFRSF17/CCL23/BMP5/CD27/IL6R/CXCL12/BMP2/CCL5/CNTFR/ACVRL1/CCL15/CCL28/CXCL14/CXCL13/CCL14/CCL19",19
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","6/262","43/9399",0.13953488372093,5.00568080951536,4.45791737266675,0.00113558668618461,0.0219642771681834,0.0196019864887678,"FABP1/MOGAT2/FABP2/CD36/ACAT1/PLA2G10",6
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","7/262","59/9399",0.11864406779661,4.25624272221503,4.24850262807738,0.00119371071566214,0.0219642771681834,0.0196019864887678,"PRDX6/ANPEP/GSTM5/HPGDS/GSTM2/GPX3/GGT6",7
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","8/262","79/9399",0.10126582278481,3.63281476471157,3.97916957976443,0.00154452430558935,0.0266430442714163,0.0237775452307835,"UGT1A8/GSTM5/UGT1A10/HPGDS/GSTM2/UGT2A3/ADH1C/ADH1B",8
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","7/262","69/9399",0.101449275362319,3.63939595087952,3.72610271942675,0.00298250382825027,0.0484218268586515,0.0432139873566913,"CLCA4/PTGER4/EDN3/ADCY5/EDN2/PRKACB/CLCA1",7
NA,NA,"hsa04081","Hormone signaling","14/262","219/9399",0.0639269406392694,2.29331799644463,3.27923538139234,0.00325023684255075,0.0498369649191116,0.0444769252138524,"GUCA2B/GNG7/GNA11/GUCA2A/SST/GCG/ADCY5/VIPR1/THRB/SSTR1/UCN3/PRKACB/ADRA2A/VIP",14
