"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","15/167","94/9399",0.159574468085106,8.98108039240668,10.4591280849176,8.13835192166959e-11,1.91251270159235e-08,1.62767038433392e-08,"MMP1/MMP3/HSP90AB1/CEBPB/IL1B/IL6/CXCL2/FOSL1/S100A8/CXCL3/S100A9/CXCL5/CXCL10/CXCL1/MMP9",15
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","14/167","103/9399",0.135922330097087,7.64990407534446,9.12670458664075,3.16310161665431e-09,3.71664439956881e-07,3.16310161665431e-07,"COL4A1/COL8A1/COL1A1/COL5A2/COL11A1/COL12A1/COL1A2/COL5A1/COL6A3/COL4A2/COL3A1/COL18A1/COL10A1/COL15A1",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","12/167","89/9399",0.134831460674157,7.58850837650542,8.39914972726694,4.83880823222346e-08,3.79039978190838e-06,3.22587215481564e-06,"COL4A1/COL1A1/COL1A2/THBS2/COL6A3/SPP1/COL4A2/ITGA2/TNC/COMP/ITGA5/FN1",12
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","18/167","233/9399",0.0772532188841202,4.3479221813883,6.95971485890038,1.50502400639791e-07,8.84201603758771e-06,7.52512003198954e-06,"COL4A1/COL1A1/BGN/COL5A2/COL11A1/SNTB1/COL1A2/THBS2/COL5A1/COL6A3/NEBL/COL4A2/COL3A1/VCAN/ITGA2/COMP/ITGA5/FN1",18
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","22/167","362/9399",0.0607734806629834,3.42041883084659,6.31627056444939,4.03565696686042e-07,1.8967587744244e-05,1.61426278674417e-05,"COL4A1/COL1A1/MET/CCND1/COL1A2/HSP90AB1/THBS2/COL6A3/SPP1/COL4A2/MYC/IL6/OSM/ITGA2/TNC/COMP/DDIT4/EREG/ITGA5/AREG/FN1/EFNA3",22
NA,NA,"hsa04518","Integrin signaling","14/167","154/9399",0.0909090909090909,5.11649428415896,6.92727577737612,5.5257886477318e-07,2.16426722036162e-05,1.84192954924393e-05,"COL4A1/COL1A1/MET/CCND1/COL1A2/THBS2/COL6A3/SPP1/COL4A2/ITGA2/TNC/COMP/ITGA5/FN1",14
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","11/167","103/9399",0.106796116504854,6.01063891634207,6.87688433722422,1.94745007409236e-06,6.53786810588149e-05,5.56414306883531e-05,"COL4A1/COL1A1/COL1A2/COL4A2/IL1B/COL3A1/IL6/CXCL2/CXCL3/CXCL1/FN1",11
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","11/167","119/9399",0.092436974789916,5.20248578473305,6.20488595560442,8.05714993977391e-06,0.000236678779480859,0.000201428748494348,"MMP3/CEBPB/MMP14/IL1B/IL6/CXCL2/CXCL3/CXCL5/CXCL10/CXCL1/MMP9",11
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","10/167","101/9399",0.099009900990099,5.57241951740084,6.21355352569322,1.14406921075165e-05,0.000298729182807376,0.000254237602389256,"COL4A1/COL1A1/CCND1/COL1A2/COL4A2/IL1B/COL3A1/IL6/SERPINE1/FN1",10
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","14/167","203/9399",0.0689655172413793,3.88147842246541,5.58202744507703,1.44588592361279e-05,0.000339783192049005,0.000289177184722558,"COL4A1/COL1A1/MET/CCND1/COL1A2/THBS2/COL6A3/SPP1/COL4A2/ITGA2/TNC/COMP/ITGA5/FN1",14
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","11/167","158/9399",0.069620253164557,3.91832790115971,4.97543668136546,0.000113142203004746,0.00241712888237412,0.00205713096372266,"CCND1/CDC6/ORC6/TRIP13/E2F1/MYC/CDC25B/CDCA5/PKMYT1/CDK1/MAD2L1",11
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","8/167","93/9399",0.0860215053763441,4.84141394630095,5.00701758811949,0.000237256052159019,0.00461271003217565,0.00392571066568141,"COL4A1/CCND1/CKS2/E2F1/COL4A2/MYC/ITGA2/FN1",8
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","12/167","204/9399",0.0588235294117647,3.31067277210285,4.48751302148507,0.000272431120216046,0.00461271003217565,0.00392571066568141,"WNT2/COL1A1/MET/CCND1/COL1A2/PLAU/SHH/MYC/ITGA2/ITGA5/FN1/MMP9",12
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","8/167","95/9399",0.0842105263157895,4.73948944216829,4.92682709550448,0.000274799746597699,0.00461271003217565,0.00392571066568141,"MMP1/MMP3/IL1B/IL6/CXCL2/CXCL3/CXCL5/CXCL1",8
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","15/167","323/9399",0.0464396284829721,2.61368903060752,3.96919030939302,0.000618559912287381,0.00969077195916897,0.00824746549716508,"MET/CCND1/PLAU/E2F1/MYC/SOX4/CDC25B/CDCA5/TNC/FSCN1/DDIT4/ITGA5/EFNA3/SERPINB5/MMP9",15
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","5/167","41/9399",0.121951219512195,6.86358989338396,5.06048397074336,0.000745000811161576,0.0109421994139356,0.0093125101395197,"MMP1/CCND1/E2F1/MYC/MMP9",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","14/167","298/9399",0.0469798657718121,2.64409436161235,3.8789874349046,0.000840568076012337,0.0110505432973954,0.00940471769991098,"TNFRSF12A/INHBA/IL1B/IL6/OSM/CXCL2/TNFRSF6B/GDF15/CXCL3/CXCL5/CXCL10/IL1RN/CXCL1/CXCL11",14
