"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","15/436","61/9399",0.245901639344262,5.30098511054294,7.43259020281352,7.70647531242015e-08,2.45065914934961e-05,2.08480437399156e-05,"TRPM6/SLC26A3/SLC6A19/CLCN2/CYBRD1/ATP1B3/VDR/HEPH/ATP1A2/SLC9A3/MT1M/MT1H/MT1F/MT1E/MT1G",15
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","8/436","28/9399",0.285714285714286,6.15923984272608,6.0298433725061,2.75017005682501e-05,0.00437277039035177,0.00371996686633699,"B3GALT5/B3GALT1/B4GALNT2/GCNT2/ABO/ST3GAL4/FUT2/FUT3",8
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","9/436","38/9399",0.236842105263158,5.10568565910188,5.59307493749239,4.4860323949452e-05,0.00475519433864191,0.00404529938772251,"NR3C2/SCNN1B/MAPK3/HSD11B2/NEDD4L/ATP1B3/ATP1A2/SCNN1A/SFN",9
"Organismal Systems","Digestive system","hsa04976","Bile secretion","14/436","90/9399",0.155555555555556,3.35336391437309,4.94758308638172,6.16643051004671e-05,0.00490231225548713,0.00417045431863685,"AQP8/UGT1A8/CA2/SLC9A1/SLC4A4/UGT1A10/ABCG2/PRKACB/ADCY5/ATP1B3/UGT2A3/ATP1A2/SLC9A3/ABCB1",14
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","14/436","102/9399",0.137254901960784,2.95885051268214,4.38696562858533,0.000244016264649441,0.0155194344317045,0.0132025642136645,"CLCA4/SLC26A3/CPA3/CA2/ATP2A3/SLC9A1/SLC4A4/CLCA1/PLA2G10/ADCY5/ATP1B3/ATP1A2/KCNMA1/PLA2G2A",14
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","11/436","69/9399",0.159420289855072,3.43667730355006,4.48039195086009,0.000301086547209963,0.015957587002128,0.0135753057250808,"CLCA4/EDN3/CLCA1/PTGER4/PTGER2/PRKACB/CALML4/PDE3A/ADCY5/EDN2/KCNMA1",11
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","16/436","134/9399",0.119402985074627,2.57401068054224,4.04735807872396,0.000458046521063159,0.019675372702352,0.0167380694621135,"GNA11/EDN3/MAPK3/PLA2G10/PRKACB/CALML4/ADCY5/PLA2G4F/MYH11/EDN2/PPP1R12B/ACTG2/KCNMA1/KCNMB1/MYLK/PLA2G2A",16
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","6/436","23/9399",0.260869565217391,5.62365376944555,4.89637521635062,0.000494977929618919,0.019675372702352,0.0167380694621135,"CA4/CA2/SLC4A4/ATP1B3/ATP1A2/SLC9A3",6
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","4/436","10/9399",0.4,8.62293577981652,5.31920659331552,0.000767078566337534,0.0236122957722952,0.0200872559201584,"SELENBP1/ETHE1/PAPSS2/TST",4
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","22/436","226/9399",0.0973451327433628,2.09850207030933,3.68666494422911,0.000793505150262056,0.0236122957722952,0.0200872559201584,"NPY/VIP/EDN3/SST/GCG/PLCE1/ATP2A3/SLC9A1/PTGER2/PDE4D/MAPK3/HTR4/PRKACB/CALML4/PDE3A/ADCY5/ATP1B3/CREB3L1/EDN2/ATP1A2/SSTR1/PLN",22
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","5/436","17/9399",0.294117647058824,6.34039395574744,4.86053761977194,0.000816777526714613,0.0236122957722952,0.0200872559201584,"CA7/CA4/CA1/CA2/CA12",5
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","10/436","70/9399",0.142857142857143,3.07961992136304,3.85167566114811,0.00135555134353743,0.0359221106037419,0.0305593592358877,"UGT1A8/UGT1A10/GSTM5/GSTM2/NAT1/SULT1A2/HPGDS/UGT2A3/SULT1A4/SULT1A1",10
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","13/436","110/9399",0.118181818181818,2.54768557130942,3.60104759685537,0.00168329816179667,0.040168231949472,0.0341715842800871,"CDKN2B/BMP5/NEO1/RGMA/MAPK3/BMP2/GREM2/BMP6/SMAD9/NBL1/GREM1/DCN/LEFTY1",13
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","17/436","166/9399",0.102409638554217,2.20767934121808,3.46233056971965,0.00176841272733525,0.040168231949472,0.0341715842800871,"GNA11/BDKRB2/ATP2A3/PDE5A/MAPK3/CALML4/PDE3A/ADCY5/ATP1B3/CREB3L1/ATP1A2/ADRA2A/PLN/KCNMA1/RGS2/KCNMB1/MYLK",17
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","11/436","86/9399",0.127906976744186,2.757334115639,3.61071351136155,0.00199132832533301,0.0422161604970599,0.0359137810253042,"GNA11/GCG/VAMP2/TRPM4/PRKACB/ADCY5/ATP1B3/CREB3L1/ATP1A2/KCNMA1/KCNMB1",11
