"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","34/410","89/9399",0.382022471910112,8.75763222800767,15.7037476627495,7.18569662854504e-24,2.22756595484896e-21,1.86828112342171e-21,"FGG/VTN/FGB/FGA/SERPINF2/SERPINC1/CFHR1/F12/PROC/CFI/KNG1/C5/SERPINA1/SERPINE1/C4BPA/CFB/C4BPB/C2/F10/C8G/C4B/C3/C4A/SERPING1/F2R/C5AR1/SERPINE2/CFH/TFPI/C1R/PROS1/MASP1/CLU/C1S",34
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","20/410","99/9399",0.202020202020202,4.63118994826312,7.75673668829176,6.98729687359895e-09,1.08303101540784e-06,9.08348593567864e-07,"FGG/FCGR3A/CFI/C5/CFB/C2/FCGR1A/C4B/C3/FPR1/KRT23/C4A/KRT17/C5AR1/ICAM1/CFH/FCGR3B/C1R/MASP1/C1S",20
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","14/410","52/9399",0.269230769230769,6.1719512195122,7.98682059302368,2.80804581018053e-08,2.90164733718654e-06,2.43363970215646e-06,"APOA2/APOC2/APOC3/APOA1/APOH/APOC1/LIPC/APOE/ANGPTL4/LIPG/PCSK9/LCAT/LDLR/CYP27A1",14
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","12/410","41/9399",0.292682926829268,6.70957763236169,7.82453159954018,1.01100622228625e-07,7.83529822271844e-06,6.57154044486063e-06,"AGXT/GCSH/PSAT1/GATM/SHMT2/GAMT/PIPOX/CBS/SDS/PHGDH/GLDC/MAOB",12
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","15/410","73/9399",0.205479452054795,4.71049114600735,6.79671536218155,4.35086070778153e-07,2.69753363882455e-05,2.26244756804639e-05,"CYP2E1/FMO3/CYP2C9/AOX1/CYP2D6/GSTO1/CYP3A4/CYP2B6/UGT2B7/UGT1A6/UGT1A1/GSTA1/MAOB/UGT2B15/ADH6",15
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","15/410","79/9399",0.189873417721519,4.3527323247916,6.39084713460736,1.26851800191375e-06,6.55400967655438e-05,5.49691134162625e-05,"CYP2E1/HSD11B1/CYP2C9/CYP2D6/GSTO1/CYP3A4/CYP2B6/AKR1C1/CYP1B1/UGT2B7/UGT1A6/UGT1A1/GSTA1/UGT2B15/ADH6",15
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","10/410","37/9399",0.27027027027027,6.19578114700066,6.76271914925961,2.70055090929177e-06,0.000119595825982921,0.000100306176630837,"AGXT/NIT2/ALDH4A1/CPS1/GPT2/GLS2/PPAT/IL4I1/FOLH1/ABAT",10
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","14/410","76/9399",0.184210526315789,4.22291399229782,6.02464731818013,4.18130483550397e-06,0.000162025562375779,0.000135892407153879,"APOA2/APOC3/APOA1/SLC27A5/PLIN2/OLR1/ACSL1/SCD/ANGPTL4/FABP6/CYP27A1/ACSL6/FADS2/FABP3",14
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","13/410","75/9399",0.173333333333333,3.97356097560976,5.52154106286359,1.83793310387319e-05,0.000633065846889655,0.000530958452230033,"PAH/CPS1/GPT2/PSAT1/SHMT2/ALDOB/ENO3/CBS/OTC/SDS/PHGDH/PC/PYCR1",13
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","12/410","66/9399",0.181818181818182,4.16807095343681,5.51582136895731,2.33937979104211e-05,0.000725207735223055,0.000608238745670949,"CYP2E1/HSD11B1/COMT/HSD17B6/CYP3A4/AKR1C1/CYP1B1/UGT2B7/UGT1A6/UGT1A1/SULT2B1/UGT2B15",12
